Used 2020 Toyota, Prius LE FWD, $20,147, Fair Price, 49,575 miles, 
Used 2020 Toyota, Camry Hybrid LE FWD CVT, $20,571, Excellent Price, 63,525 miles, 
Used 2020 Toyota, Camry LE FWD Automatic, $17,499, Excellent Price, 78,418 miles, 
Used 2020 Toyota, Corolla SE CVT, $12,809, Excellent Price, 132,042 miles, 
Used 2020 Toyota, Camry Hybrid LE FWD CVT, $20,571, Excellent Price, 63,525 miles, 
Used 2020 Toyota, Corolla SE CVT, $20,998, Great Price, 25,615 miles, 
Used 2020 Toyota, Camry SE FWD Automatic, $23,998, Great Price, 29,096 miles, 
Used 2020 Toyota, Prius LE FWD, $14,987, Excellent Price, 104,737 miles, 
Used 2020 Toyota, Corolla Hybrid LE CVT, $20,998, Great Price, 44,352 miles, 
Used 2020 Toyota, Corolla LE CVT, $19,998, Great Price, 31,660 miles, 
Used 2020 Toyota, Avalon Touring, $20,999, Excellent Price, 122,407 miles, 
Used 2020 Toyota, Corolla SE CVT, $19,998, Great Price, 51,685 miles, 
Used 2020 Toyota, Camry LE FWD Automatic, $17,499, Excellent Price, 78,418 miles, 
Used 2020 Toyota, Corolla LE CVT, $19,998, Great Price, 28,981 miles, 
Used 2020 Toyota, Camry LE FWD Automatic, $13,997, Excellent Price, 126,576 miles, 
Used 2020 Toyota, Corolla LE CVT, $18,998, Great Price, 50,940 miles, 
Used 2020 Toyota, RAV4 LE FWD, $17,999, Great Price, 113,745 miles, 
Used 2020 Toyota, Tacoma SR Access Cab 6' Bed I4 2WD Automatic, $25,998, Great Price, 39,933 miles, 
Used 2020 Toyota, Highlander XLE FWD, $30,994, Great Price, 34,932 miles, 
Used 2020 Toyota, Corolla SE CVT, $19,998, Great Price, 42,256 miles, 
Used 2020 Toyota, Corolla LE CVT, $16,500, Excellent Price, 60,309 miles, 
Used 2020 Toyota, Highlander Hybrid XLE FWD, $30,490, Excellent Price, 52,737 miles, 
Used 2020 Toyota, RAV4 XLE AWD, $24,998, Great Price, 64,214 miles, 
Used 2020 Toyota, Prius Limited FWD, $24,800, Great Price, 18,767 miles, 
Used 2020 Toyota, Avalon Limited, $33,998, Excellent Price, 20,772 miles, 
Used 2020 Toyota, Camry SE FWD Automatic, $22,998, Great Price, 46,679 miles, 
Used 2020 Toyota, Avalon XLE, $19,288, Excellent Price, 104,684 miles, 
Used 2020 Toyota, RAV4 Hybrid LE AWD, $19,999, Great Price, 109,306 miles, 
