Year/Make, Model, Price, Rating, Mileage
Used 2021 Hyundai, Santa Fe SE AWD, 16850, Great Price, 66095, 
Used 2021 Hyundai, Sonata SE, 19998, High Price, 31304, 
Used 2021 Hyundai, Sonata Limited, 22998, Fair Price, 58255, 
Used 2021 Hyundai, Santa Fe SEL AWD, 18409, Great Price, 77455, 
Used 2021 Hyundai, Sonata SEL, 16495, Excellent Price, 65318, 
Used 2021 Hyundai, Accent SE Automatic, 8999, Excellent Price, 75297, 
Used 2021 Hyundai, Elantra N Line Manual, 20995, Fair Price, 26263, 
Used 2021 Hyundai, Elantra SE IVT (SULEV), 15995, High Price, 78460, 
Used 2021 Hyundai, Elantra SEL IVT, 15499, Great Price, 83421, 
Used 2021 Hyundai, Elantra Limited IVT (alt), 11990, Excellent Price, 85187, 
Used 2021 Hyundai, Palisade Calligraphy AWD, 30880, Great Price, 61322, 
Used 2021 Hyundai, Elantra N Line Manual, 20999, High Price, 29056, 
Used 2021 Hyundai, Tucson SEL AWD, 20324, Great Price, 21521, 
Used 2021 Hyundai, Sonata SEL Plus, 14900, Great Price, 92142, 
Used 2021 Hyundai, Santa Fe SEL AWD, 14999, Fair Price, 113134, 
Used 2021 Hyundai, Elantra SE IVT (SULEV), 15995, High Price, 78460, 
Used 2021 Hyundai, Palisade Calligraphy AWD, 30880, Great Price, 61322, 
Used 2021 Hyundai, Palisade Calligraphy AWD, 25995, High Price, 100360, 
Used 2021 Hyundai, Elantra N Line Manual, 19995, High Price, 31091, 
Used 2021 Hyundai, Tucson SE AWD, 18950, Fair Price, 50061, 
Used 2021 Hyundai, Santa Fe Calligraphy AWD with 20" Wheels, 26989, Fair Price, 62000, 
Used 2021 Hyundai, Elantra N Line Manual, 20995, Fair Price, 26263, 
Used 2021 Hyundai, Santa Fe SEL AWD, 23310, High Price, 55477, 
Used 2021 Hyundai, Sonata Limited, 22998, Fair Price, 58255, 
Used 2021 Hyundai, Sonata SE, 15999, Great Price, 39329, 
Used 2021 Hyundai, Tucson SE AWD, 17383, Great Price, 44506, 
