Used 2018 Toyota, 4Runner Limited 4WD, $34,495, Fair Price, 66,865 miles, 
Used 2018 Toyota, RAV4 LE FWD, $18,999, Excellent Price, 43,406 miles, 
Used 2018 Toyota, Highlander LE V6 FWD, $20,500, High Price, 86,159 miles, 
Used 2018 Toyota, Highlander SE V6 AWD, $25,995, Great Price, 72,200 miles, 
Used 2018 Toyota, Camry LE I4 Automatic, $16,920, Excellent Price, 72,733 miles, 
Used 2018 Toyota, 4Runner SR5 Premium 4WD, $34,348, High Price, 82,551 miles, 
Used 2018 Toyota, Prius Four, $19,374, Great Price, 54,208 miles, 
Used 2018 Toyota, 4Runner SR5 Premium 4WD, $31,495, Great Price, 72,641 miles, 
Used 2018 Toyota, RAV4 LE FWD, $18,863, Great Price, 72,890 miles, 
Used 2018 Toyota, Tundra Platinum CrewMax 5.5' Bed Flex Fuel 5.7L V8 4WD, $44,999, Fair Price, 50,264 miles, 
Used 2018 Toyota, Corolla LE CVT, $12,296, Fair Price, 144,309 miles, 
Used 2018 Toyota, Highlander SE V6 AWD, $17,275, High Price, 185,099 miles, 
Used 2018 Toyota, 4Runner Limited 4WD, $33,900, Fair Price, 75,929 miles, 
Used 2018 Toyota, Sienna L 7-Passenger FWD, $15,950, Great Price, 175,477 miles, 
Used 2018 Toyota, Tacoma TRD Pro Double Cab 5' Bed V6 4WD Manual, $37,944, Excellent Price, 57,026 miles, 
Used 2018 Toyota, Yaris iA Manual, $11,700, High Price, 89,566 miles, 
Used 2018 Toyota, RAV4 XLE AWD, $20,973, High Price, 89,382 miles, 
Used 2018 Toyota, Camry XSE I4 Automatic, $24,976, High Price, 38,939 miles, 
Used 2018 Toyota, 4Runner SR5 RWD, $27,896, Fair Price, 86,126 miles, 
Used 2018 Toyota, 4Runner TRD Off Road 4WD, $38,772, High Price, 29,185 miles, 
Used 2018 Toyota, RAV4 XLE AWD, $19,000, High Price, 109,127 miles, 
Used 2018 Toyota, 4Runner SR5 4WD, $31,500, High Price, 90,275 miles, 
Used 2018 Toyota, 4Runner TRD Off Road Premium 4WD, $44,061, High Price, 59,687 miles, 
Used 2018 Toyota, RAV4 XLE AWD, $16,750, High Price, 136,465 miles, 
Used 2018 Toyota, 4Runner Limited 4WD, $25,995, High Price, 151,285 miles, 
Used 2018 Toyota, Camry XLE I4 Automatic, $14,778, Fair Price, 155,419 miles, 
Used 2018 Toyota, RAV4 XLE AWD, $20,973, High Price, 89,382 miles, 
Used 2018 Toyota, Tundra SR5 CrewMax 5.5' Bed Flex Fuel 5.7L V8 4WD, $30,950, Fair Price, 98,471 miles, 
Used 2018 Toyota, RAV4 Limited FWD, $24,895, Fair Price, 20,545 miles, 
Used 2018 Toyota, 4Runner SR5 4WD, $32,299, High Price, 91,510 miles, 
Used 2018 Toyota, Prius One, $18,499, High Price, 29,125 miles, 
Used 2018 Toyota, Tacoma SR Double Cab 5' Bed V6 4WD Automatic, $29,750, High Price, 88,345 miles, 
