Used 2024 INFINITI, QX80 LUXE AWD, $47,393, Excellent Price, 20,272 miles, 
Used 2024 INFINITI, QX60 LUXE AWD, $38,323, Great Price, 30,204 miles, 
Used 2024 INFINITI, QX60 LUXE AWD, $37,993, Great Price, 29,469 miles, 
Used 2024 INFINITI, QX60 LUXE AWD, $36,276, Great Price, 34,972 miles, 
Used 2024 INFINITI, QX50 LUXE AWD, $39,900, High Price, 3,378 miles, 
