Used 2022 Rivian, R1T Adventure Package, $53,490, High Price, 27,800 miles, 
Used 2022 Rivian, R1T Adventure Package, $49,896, Fair Price, 44,092 miles, 
Used 2022 Rivian, R1T Adventure Package, $53,990, Fair Price, 39,127 miles, 
