Used 2020 Kia, Soul S IVT, $9,995, Great Price, 106,460 miles, 
Used 2020 Kia, Telluride S AWD, $27,750, Great Price, 17,200 miles, 
Used 2020 Kia, Sportage LX AWD, $18,490, High Price, 37,686 miles, 
Used 2020 Kia, Sorento S V6 FWD, $13,996, Fair Price, 131,887 miles, 
Used 2020 Kia, Telluride SX FWD, $30,998, High Price, 56,885 miles, 
Used 2020 Kia, Soul EX IVT, $13,599, High Price, 122,101 miles, 
Used 2020 Kia, Forte LXS IVT, $20,595, High Price, 22,147 miles, 
Used 2020 Kia, Soul LX IVT, $11,304, Excellent Price, 74,815 miles, 
Used 2020 Kia, Soul LX IVT, $15,914, High Price, 47,593 miles, 
Used 2020 Kia, Telluride SX AWD, $24,999, High Price, 95,319 miles, 
Used 2020 Kia, Sportage EX FWD, $20,995, High Price, 55,928 miles, 
Used 2020 Kia, Sportage LX FWD, $11,499, Fair Price, 99,505 miles, 
Used 2020 Kia, Sportage LX FWD, $11,499, Fair Price, 99,505 miles, 
Used 2020 Kia, Telluride S FWD, $20,990, Great Price, 90,861 miles, 
Used 2020 Kia, Sorento LX FWD, $19,995, High Price, 47,859 miles, 
Used 2020 Kia, Sportage EX AWD, $20,899, High Price, 58,115 miles, 
Used 2020 Kia, Soul GT-Line IVT, $12,689, Fair Price, 79,159 miles, 
Used 2020 Kia, Sportage EX FWD, $20,995, High Price, 55,928 miles, 
Used 2020 Kia, Telluride SX AWD, $28,950, Fair Price, 56,296 miles, 
Used 2020 Kia, Telluride SX AWD, $24,999, High Price, 95,319 miles, 
Used 2020 Kia, Sportage SX Turbo AWD, $20,000, Great Price, 60,101 miles, 
Used 2020 Kia, Soul LX IVT, $13,995, High Price, 49,749 miles, 
Used 2020 Kia, Soul EX IVT, $13,599, High Price, 122,101 miles, 
Used 2020 Kia, Telluride SX FWD, $30,998, High Price, 56,885 miles, 
Used 2020 Kia, Sportage LX AWD, $13,358, Fair Price, 96,210 miles, 
Used 2020 Kia, Optima LX Automatic, $17,834, High Price, 78,489 miles, 
Used 2020 Kia, Rio LX Sedan IVT, $13,998, High Price, 95,871 miles, 
Used 2020 Kia, Soul LX IVT, $14,998, Fair Price, 71,330 miles, 
Used 2020 Kia, Sportage LX FWD, $11,777, Fair Price, 75,627 miles, 
Used 2020 Kia, Telluride EX AWD, $26,911, Great Price, 36,748 miles, 
Used 2020 Kia, Sportage S AWD, $13,988, High Price, 146,725 miles, 
Used 2020 Kia, Sorento LX AWD, $19,595, High Price, 74,765 miles, 
Used 2020 Kia, Sorento SX V6 AWD, $15,995, High Price, 116,935 miles, 
Used 2020 Kia, Sorento EX V6 AWD, $15,999, High Price, 100,050 miles, 
Used 2020 Kia, Forte GT-Line IVT, $17,499, High Price, 29,677 miles, 
Used 2020 Kia, Rio S Sedan IVT, $13,995, Fair Price, 41,351 miles, 
Used 2020 Kia, Sportage S AWD, $18,113, Great Price, 69,095 miles, 
Used 2020 Kia, Optima SE Automatic, $14,995, High Price, 106,141 miles, 
Used 2020 Kia, Forte GT-Line IVT, $16,242, High Price, 48,923 miles, 
Used 2020 Kia, Stinger GT-Line AWD, $26,990, High Price, 27,083 miles, 
Used 2020 Kia, Optima LX Automatic, $10,200, High Price, 153,652 miles, 
Used 2020 Kia, Stinger GT-Line AWD, $26,990, High Price, 27,083 miles, 
Used 2020 Kia, Sportage EX AWD, $25,270, High Price, 41,631 miles, 
