Used 2020 Lexus, UX 250h AWD, $28,995, High Price, 24,368 miles, 
Used 2020 Lexus, RX 350 AWD, $39,998, High Price, 13,391 miles, 
Used 2020 Lexus, RX 350 FWD, $33,495, High Price, 43,722 miles, 
Used 2020 Lexus, UX 200 FWD, $27,495, High Price, 31,399 miles, 
Used 2020 Lexus, RX 350 AWD, $26,495, Great Price, 79,435 miles, 
Used 2020 Lexus, UX 250h F Sport AWD, $26,800, Fair Price, 67,388 miles, 
Used 2020 Lexus, GX 460 Premium, $40,999, High Price, 69,334 miles, 
Used 2020 Lexus, GX 460 Premium, $37,000, High Price, 81,249 miles, 
Used 2020 Lexus, IS 300 AWD, $24,694, Great Price, 31,374 miles, 
Used 2020 Lexus, ES 350, $28,695, High Price, 50,347 miles, 
Used 2020 Lexus, NX 300 F Sport AWD, $31,999, High Price, 39,025 miles, 
Used 2020 Lexus, NX 300 AWD, $27,900, High Price, 36,271 miles, 
Used 2020 Lexus, ES 300h, $28,700, Great Price, 68,461 miles, 
Used 2020 Lexus, GX 460 Premium, $39,999, Fair Price, 43,161 miles, 
Used 2020 Lexus, RX 350 AWD, $27,375, Fair Price, 81,284 miles, 
Used 2020 Lexus, NX 300 AWD, $25,750, High Price, 53,174 miles, 
Used 2020 Lexus, IS 300 F Sport AWD, $34,995, High Price, 42,818 miles, 
Used 2020 Lexus, RX 350 AWD, $36,999, High Price, 39,679 miles, 
Used 2020 Lexus, RX 450h AWD, $36,495, High Price, 48,956 miles, 
Used 2020 Lexus, UX 250h AWD, $31,995, High Price, 6,866 miles, 
Used 2020 Lexus, RX 450h AWD, $34,900, High Price, 30,617 miles, 
