Used 2023 Kia, Sportage EX FWD, $24,770, Great Price, 16,118 miles, 
Used 2023 Kia, Soul LX IVT, $17,368, Excellent Price, 37,952 miles, 
Used 2023 Kia, Forte LXS IVT, $17,332, Excellent Price, 55,009 miles, 
Used 2023 Kia, Soul LX IVT, $17,998, Excellent Price, 42,170 miles, 
Used 2023 Kia, Soul LX IVT, $18,998, Great Price, 23,471 miles, 
Used 2023 Kia, Forte LXS IVT, $18,300, Great Price, 44,196 miles, 
Used 2023 Kia, Forte LXS IVT, $17,990, Great Price, 43,627 miles, 
Used 2023 Kia, Rio LX Sedan IVT, $16,595, Excellent Price, 12,041 miles, 
Used 2023 Kia, Soul LX IVT, $17,998, Great Price, 26,847 miles, 
Used 2023 Kia, Sorento Hybrid SX Prestige AWD, $32,547, Excellent Price, 33,777 miles, 
Used 2023 Kia, Soul LX IVT, $17,998, Great Price, 40,305 miles, 
Used 2023 Kia, Sportage LX AWD, $21,000, Great Price, 53,046 miles, 
Used 2023 Kia, Forte LXS IVT, $18,995, Great Price, 37,603 miles, 
Used 2023 Kia, Soul S IVT, $19,800, Great Price, 5,601 miles, 
Used 2023 Kia, Soul GT-Line IVT, $19,962, Great Price, 22,158 miles, 
Used 2023 Kia, Carnival LXS, $30,998, Great Price, 48,860 miles, 
Used 2023 Kia, K5 GT-Line AWD, $26,813, Great Price, 31,102 miles, 
Used 2023 Kia, Sportage EX FWD, $24,770, Great Price, 16,118 miles, 
Used 2023 Kia, Niro EV Wave, $27,048, Great Price, 25 miles, 
Used 2023 Kia, Sorento Hybrid EX AWD, $32,601, Great Price, 10 miles, 
Used 2023 Kia, Sportage LX FWD, $20,700, Great Price, 47,122 miles, 
Used 2023 Kia, Soul S IVT, $19,940, Great Price, 9,072 miles, 
Used 2023 Kia, K5 GT-Line AWD, $28,998, Fair Price, 34,746 miles, 
Used 2023 Kia, Soul GT-Line IVT, $19,998, Great Price, 40,728 miles, 
Used 2023 Kia, Sportage EX FWD, $24,995, Fair Price, 26,630 miles, 
