Year/Make, Model, Price, Rating, Mileage
Used 2022 Subaru, Impreza Sedan CVT, 18495, Excellent Price, 20931, 
Used 2022 Subaru, Forester Touring, 29967, Great Price, 17578, 
Used 2022 Subaru, Outback 2.5i Limited, 25349, Great Price, 46904, 
Used 2022 Subaru, Outback 2.5i Limited, 26995, Fair Price, 35150, 
Used 2022 Subaru, Outback 2.5i Limited, 25998, Great Price, 14263, 
Used 2022 Subaru, Ascent Limited 7-Passenger, 29998, Excellent Price, 44707, 
Used 2022 Subaru, Forester Limited, 28995, Fair Price, 28949, 
Used 2022 Subaru, Forester Wilderness, 27822, Great Price, 26100, 
Used 2022 Subaru, Outback 2.5i Limited, 26595, Great Price, 34077, 
Used 2022 Subaru, Impreza Sedan CVT, 18199, Great Price, 23105, 
Used 2022 Subaru, Forester Premium, 25329, Great Price, 21161, 
Used 2022 Subaru, Outback 2.5i Limited, 21495, Excellent Price, 64054, 
Used 2022 Subaru, Forester Wilderness, 29588, Fair Price, 23919, 
Used 2022 Subaru, Ascent Touring 7-Passenger, 29498, Great Price, 50696, 
Used 2022 Subaru, Forester Wilderness, 26951, Great Price, 42412, 
Used 2022 Subaru, Crosstrek 2.0i CVT, 22895, Great Price, 23822, 
Used 2022 Subaru, Forester Premium, 26996, Fair Price, 29946, 
Used 2022 Subaru, Outback 2.5i Limited, 26703, Fair Price, 32081, 
Used 2022 Subaru, Forester Premium, 25957, Great Price, 32773, 
Used 2022 Subaru, Outback 2.5i Premium, 23494, Great Price, 26172, 
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, 25000, Excellent Price, 26188, 
Used 2022 Subaru, Forester Touring, 25795, Great Price, 27907, 
Used 2022 Subaru, Impreza Sedan CVT, 18199, Great Price, 23105, 
Used 2022 Subaru, Legacy 2.5i Limited, 23700, Fair Price, 19386, 
Used 2022 Subaru, Forester Premium, 25329, Great Price, 21161, 
Used 2022 Subaru, Outback 2.5i Premium, 22900, Great Price, 49655, 
Used 2022 Subaru, Forester Wilderness, 26992, Excellent Price, 32404, 
Used 2022 Subaru, Outback 2.4T Wilderness, 31622, Great Price, 17040, 
Used 2022 Subaru, WRX Premium Manual, 26395, Great Price, 21986, 
Used 2022 Subaru, Outback 2.5i Limited, 26995, Fair Price, 35150, 
Used 2022 Subaru, Outback 2.5i Limited, 26703, Fair Price, 32081, 
Used 2022 Subaru, Forester Wilderness, 26951, Great Price, 42412, 
Used 2022 Subaru, Forester Premium, 25788, Fair Price, 32024, 
Used 2022 Subaru, Forester 2.5i, 22335, Great Price, 50374, 
Used 2022 Subaru, Forester Limited, 28995, Fair Price, 28949, 
Used 2022 Subaru, Forester Premium, 25957, Great Price, 32773, 
Used 2022 Subaru, Outback 2.4T Limited XT, 28395, Excellent Price, 38154, 
Used 2022 Subaru, WRX Manual, 25978, Great Price, 14375, 
Used 2022 Subaru, Outback 2.4T Limited XT, 28000, Excellent Price, 45046, 
