Used 2018 Honda, Pilot Elite AWD, $24,499, Fair Price, 59,761 miles, 
Used 2018 Honda, CR-V EX AWD, $18,450, Excellent Price, 86,659 miles, 
Used 2018 Honda, Accord Sport 1.5T CVT, $15,985, Excellent Price, 87,951 miles, 
Used 2018 Honda, HR-V EX-L Navi AWD CVT, $11,250, Excellent Price, 145,582 miles, 
Used 2018 Honda, Odyssey EX-L, $19,988, Excellent Price, 104,024 miles, 
Used 2018 Honda, Civic LX Coupe Manual, $16,700, Excellent Price, 31,183 miles, 
Used 2018 Honda, CR-V EX AWD, $16,995, Great Price, 96,106 miles, 
Used 2018 Honda, Pilot EX-L with Rear Entertainment System AWD, $22,250, Excellent Price, 44,042 miles, 
Used 2018 Honda, Accord LX 1.5T CVT, $13,999, Great Price, 109,425 miles, 
Used 2018 Honda, Civic EX-L Sedan CVT, $16,690, Excellent Price, 75,133 miles, 
Used 2018 Honda, HR-V EX AWD CVT, $16,595, Great Price, 50,834 miles, 
Used 2018 Honda, Odyssey EX-L, $13,995, Great Price, 163,763 miles, 
Used 2018 Honda, Accord Sport 1.5T CVT, $15,495, Great Price, 110,633 miles, 
Used 2018 Honda, Civic Type R Manual, $30,900, Excellent Price, 10,488 miles, 
Used 2018 Honda, Civic Sport Hatchback CVT, $14,663, Excellent Price, 98,339 miles, 
Used 2018 Honda, Civic LX Sedan CVT, $18,600, Great Price, 13,444 miles, 
Used 2018 Honda, Civic LX Sedan CVT, $14,295, Great Price, 106,627 miles, 
Used 2018 Honda, Civic Si with High Performance Tires Coupe Manual, $21,998, Great Price, 67,105 miles, 
Used 2018 Honda, Civic Sport Hatchback Manual, $21,771, Great Price, 12,267 miles, 
Used 2018 Honda, Civic LX Sedan CVT, $12,995, Great Price, 116,851 miles, 
Used 2018 Honda, Civic EX-L Sedan CVT, $18,300, Excellent Price, 59,330 miles, 
Used 2018 Honda, CR-V Touring AWD, $24,750, Great Price, 14,293 miles, 
Used 2018 Honda, Civic LX Hatchback CVT, $16,999, Excellent Price, 43,989 miles, 
Used 2018 Honda, Accord LX 1.5T CVT, $15,820, Great Price, 81,579 miles, 
Used 2018 Honda, CR-V EX AWD, $18,450, Excellent Price, 86,659 miles, 
Used 2018 Honda, Civic Si Sedan Manual, $20,990, Great Price, 46,636 miles, 
Used 2018 Honda, Fit EX-L CVT, $19,795, Great Price, 13,302 miles, 
Used 2018 Honda, Civic LX Sedan CVT, $14,522, Excellent Price, 72,518 miles, 
Used 2018 Honda, Ridgeline RTL-E AWD, $22,807, Excellent Price, 76,926 miles, 
Used 2018 Honda, HR-V EX-L Navi FWD CVT, $15,116, Great Price, 73,130 miles, 
Used 2018 Honda, Civic LX Sedan CVT, $13,595, Fair Price, 117,681 miles, 
