Used 2019 Subaru, Crosstrek 2.0i Limited CVT, $16,998, Great Price, 106,862 miles, 
Used 2019 Subaru, Impreza 2.0i 5-door CVT, $16,295, Fair Price, 75,920 miles, 
Used 2019 Subaru, Ascent Premium 8-Passenger, $20,697, Excellent Price, 65,309 miles, 
Used 2019 Subaru, Outback 2.5i, $22,998, Fair Price, 48,581 miles, 
Used 2019 Subaru, Crosstrek 2.0i Limited CVT, $17,990, Excellent Price, 66,472 miles, 
Used 2019 Subaru, Legacy 2.5i, $14,600, Excellent Price, 53,818 miles, 
Used 2019 Subaru, Legacy 2.5i, $18,348, High Price, 55,260 miles, 
Used 2019 Subaru, WRX STI Limited with Lip Spoiler Manual, $27,629, Excellent Price, 51,546 miles, 
Used 2019 Subaru, Legacy 2.5i Premium, $13,990, Great Price, 110,410 miles, 
Used 2019 Subaru, Crosstrek 2.0i Premium CVT, $22,998, High Price, 19,338 miles, 
Used 2019 Subaru, Crosstrek 2.0i Limited CVT, $15,497, Fair Price, 96,712 miles, 
Used 2019 Subaru, Impreza 2.0i Limited 5-door CVT, $20,195, Great Price, 43,287 miles, 
Used 2019 Subaru, Outback 2.5i Limited, $17,649, Excellent Price, 89,328 miles, 
Used 2019 Subaru, Crosstrek 2.0i Premium CVT, $11,500, Great Price, 133,792 miles, 
Used 2019 Subaru, Impreza 2.0i Premium 5-door CVT, $17,990, High Price, 68,750 miles, 
Used 2019 Subaru, Outback 2.5i Limited, $16,999, Fair Price, 115,226 miles, 
Used 2019 Subaru, Legacy 2.5i, $21,995, High Price, 21,757 miles, 
Used 2019 Subaru, Forester 2.5i Sport, $23,077, Great Price, 44,311 miles, 
Used 2019 Subaru, Outback 2.5i, $23,998, Fair Price, 31,463 miles, 
Used 2019 Subaru, Forester 2.5i Premium, $19,074, Fair Price, 74,754 miles, 
Used 2019 Subaru, WRX Premium Manual, $23,295, Fair Price, 42,945 miles, 
Used 2019 Subaru, Outback 2.5i Limited, $18,750, Great Price, 83,606 miles, 
Used 2019 Subaru, Outback 2.5i Premium, $17,643, Great Price, 77,499 miles, 
Used 2019 Subaru, Impreza 2.0i 5-door CVT, $8,499, Excellent Price, 95,201 miles, 
Used 2019 Subaru, Outback 2.5i Premium, $24,998, High Price, 42,847 miles, 
Used 2019 Subaru, WRX Base Manual, $17,695, Excellent Price, 61,642 miles, 
Used 2019 Subaru, Ascent Limited 7-Passenger, $16,985, Fair Price, 112,546 miles, 
Used 2019 Subaru, Impreza 2.0i Premium 5-door CVT, $15,900, Excellent Price, 55,840 miles, 
Used 2019 Subaru, Outback 3.6R Limited, $17,997, High Price, 133,265 miles, 
Used 2019 Subaru, Forester 2.5i Premium, $15,987, Great Price, 108,756 miles, 
Used 2019 Subaru, Crosstrek 2.0i Premium CVT, $16,495, Fair Price, 108,330 miles, 
Used 2019 Subaru, Crosstrek 2.0i Premium CVT, $21,998, High Price, 83,070 miles, 
Used 2019 Subaru, Outback 2.5i Limited, $21,358, Great Price, 46,750 miles, 
Used 2019 Subaru, Impreza 2.0i 4-door CVT, $13,399, Excellent Price, 81,400 miles, 
Used 2019 Subaru, WRX Base Manual, $15,141, Excellent Price, 82,883 miles, 
Used 2019 Subaru, Forester 2.5i Sport, $20,998, Fair Price, 60,727 miles, 
