Used 2023 Mazda, CX-9 Carbon Edition, $31,987, Fair Price, 26,285 miles, 
Used 2023 Mazda, CX-50 Premium Plus, $28,900, Excellent Price, 29,600 miles, 
Used 2023 Mazda, MX-5 Miata RF Grand Touring Automatic, $28,988, Great Price, 25,191 miles, 
Used 2023 Mazda, CX-9 Touring Plus, $23,540, Great Price, 58,739 miles, 
Used 2023 Mazda, CX-9 Grand Touring, $31,975, Great Price, 26,306 miles, 
Used 2023 Mazda, CX-9 Grand Touring, $33,091, Fair Price, 24,060 miles, 
Used 2023 Mazda, CX-9 Carbon Edition, $28,500, Fair Price, 34,133 miles, 
Used 2023 Mazda, CX-30 Preferred, $24,000, Great Price, 20,229 miles, 
Used 2023 Mazda, CX-30 Premium, $24,911, Excellent Price, 6,237 miles, 
Used 2023 Mazda, Mazda3 2.5 Turbo Premium Plus Sedan Automatic AWD, $26,500, Excellent Price, 15,170 miles, 
Used 2023 Mazda, CX-30 Carbon Edition, $23,575, Fair Price, 40,040 miles, 
Used 2023 Mazda, CX-9 Carbon Edition, $30,400, Fair Price, 29,483 miles, 
Used 2023 Mazda, CX-50 Turbo Premium Plus, $32,000, Great Price, 33,730 miles, 
Used 2023 Mazda, CX-50 Premium Plus, $24,700, Great Price, 83,800 miles, 
Used 2023 Mazda, CX-50 Turbo Meridian Edition, $30,800, Great Price, 21,723 miles, 
Used 2023 Mazda, CX-30 Turbo Premium, $26,272, Great Price, 13,107 miles, 
Used 2023 Mazda, CX-30 Carbon Edition, $23,500, Fair Price, 33,135 miles, 
Used 2023 Mazda, CX-5 2.5 S Premium, $24,000, Great Price, 66,127 miles, 
Used 2023 Mazda, CX-30 Preferred, $24,998, Great Price, 12,111 miles, 
Used 2023 Mazda, CX-5 2.5 S Carbon Edition, $24,475, Fair Price, 61,331 miles, 
Used 2023 Mazda, CX-50 Turbo, $29,998, Fair Price, 32,622 miles, 
Used 2023 Mazda, Mazda3 2.5 Turbo Premium Plus Hatchback Automatic AWD, $30,998, Fair Price, 17,547 miles, 
Used 2023 Mazda, CX-9 Touring Plus, $23,540, Great Price, 58,739 miles, 
Used 2023 Mazda, CX-5 2.5 S Carbon Edition, $27,000, Fair Price, 22,009 miles, 
Used 2023 Mazda, CX-50 Turbo Meridian Edition, $30,800, Great Price, 21,723 miles, 
Used 2023 Mazda, CX-5 2.5 Turbo Signature, $28,998, Great Price, 28,179 miles, 
Used 2023 Mazda, CX-30 Carbon Edition, $25,998, Fair Price, 28,027 miles, 
Used 2023 Mazda, Mazda3 Carbon Edition Sedan Automatic AWD, $21,531, Great Price, 58,780 miles, 
Used 2023 Mazda, CX-50 Turbo Premium Plus, $32,000, Great Price, 33,730 miles, 
Used 2023 Mazda, CX-50 Premium Plus, $24,700, Great Price, 83,800 miles, 
Used 2023 Mazda, CX-50 Premium Plus, $28,900, Excellent Price, 29,600 miles, 
Used 2023 Mazda, CX-5 2.5 S Select, $25,500, Fair Price, 20,829 miles, 
Used 2023 Mazda, CX-5 2.5 S Select, $25,676, Fair Price, 10,056 miles, 
