Used 2018 Nissan, Frontier SV V6 Crew Cab 4WD Automatic, $22,190, Great Price, 34,256 miles, 
Used 2018 Nissan, Maxima SV, $15,999, Great Price, 66,521 miles, 
Used 2018 Nissan, NV Cargo NV3500 HD SV V8 Standard Roof, $19,391, Great Price, 90,042 miles, 
Used 2018 Nissan, Sentra SV CVT, $13,791, Fair Price, 37,362 miles, 
Used 2018 Nissan, Rogue Hybrid SL FWD, $17,895, Excellent Price, 47,578 miles, 
Used 2018 Nissan, Rogue S AWD, $15,998, Fair Price, 80,966 miles, 
Used 2018 Nissan, Rogue S AWD, $12,775, Excellent Price, 96,596 miles, 
Used 2018 Nissan, Rogue Sport 2018.5 SL AWD, $16,987, Excellent Price, 54,581 miles, 
Used 2018 Nissan, Altima 2.5 SV, $10,995, Fair Price, 107,620 miles, 
Used 2018 Nissan, Sentra SV CVT, $13,791, Fair Price, 37,362 miles, 
Used 2018 Nissan, Altima 2.5 SR, $13,591, High Price, 86,510 miles, 
Used 2018 Nissan, Frontier SV V6 Crew Cab 4WD Automatic, $22,190, Great Price, 34,256 miles, 
Used 2018 Nissan, Maxima SV, $15,999, Great Price, 66,521 miles, 
Used 2018 Nissan, Pathfinder Platinum 4WD, $13,988, High Price, 128,211 miles, 
Used 2018 Nissan, NV Cargo NV3500 HD SV V8 Standard Roof, $19,391, Great Price, 90,042 miles, 
Used 2018 Nissan, Rogue SL AWD, $20,700, High Price, 41,256 miles, 
Used 2018 Nissan, Versa 2018.5 SV CVT, $13,599, High Price, 76,929 miles, 
Used 2018 Nissan, Rogue SL AWD, $20,998, High Price, 45,949 miles, 
Used 2018 Nissan, Titan Platinum Reserve Crew Cab 4WD, $28,580, High Price, 69,074 miles, 
Used 2018 Nissan, Rogue SV AWD, $15,999, High Price, 76,105 miles, 
Used 2018 Nissan, Rogue Sport 2018.5 SV AWD, $11,820, Excellent Price, 105,706 miles, 
Used 2018 Nissan, Rogue Sport SL AWD, $13,378, Fair Price, 101,795 miles, 
Used 2018 Nissan, Rogue Sport S AWD, $14,150, High Price, 78,828 miles, 
Used 2018 Nissan, Titan PRO-4X Crew Cab 4WD, $25,998, Fair Price, 112,753 miles, 
Used 2018 Nissan, Pathfinder SL 4WD, $12,990, Fair Price, 117,315 miles, 
Used 2018 Nissan, Murano SV AWD, $12,999, Fair Price, 111,591 miles, 
Used 2018 Nissan, Maxima SV, $16,995, High Price, 72,349 miles, 
Used 2018 Nissan, Rogue SL AWD, $16,995, Great Price, 57,628 miles, 
Used 2018 Nissan, Maxima SL, $20,375, High Price, 65,850 miles, 
Used 2018 Nissan, Titan Platinum Reserve Crew Cab 4WD, $34,251, Great Price, 22,227 miles, 
Used 2018 Nissan, Rogue SV AWD, $15,777, Excellent Price, 43,210 miles, 
Used 2018 Nissan, Rogue S AWD, $8,761, Excellent Price, 138,750 miles, 
Used 2018 Nissan, Murano S AWD, $16,998, Fair Price, 72,840 miles, 
Used 2018 Nissan, Rogue S AWD, $12,999, High Price, 98,787 miles, 
Used 2018 Nissan, Rogue SL AWD, $14,995, Excellent Price, 82,331 miles, 
Used 2018 Nissan, Versa SV CVT, $12,998, High Price, 90,433 miles, 
Used 2018 Nissan, Rogue SV AWD, $16,995, Fair Price, 42,127 miles, 
Used 2018 Nissan, Altima 2.5 S, $13,498, High Price, 93,365 miles, 
Used 2018 Nissan, Maxima SL, $23,950, High Price, 57,741 miles, 
Used 2018 Nissan, Rogue SL AWD, $19,985, High Price, 76,952 miles, 
Used 2018 Nissan, Murano Platinum AWD, $23,447, High Price, 62,169 miles, 
