Used 2021 Lexus, IS 350 F SPORT RWD, $36,209, High Price, 70,573 miles, 
Used 2021 Lexus, GX 460 Premium, $41,990, Fair Price, 77,455 miles, 
Used 2021 Lexus, IS 300 RWD, $28,888, Fair Price, 39,309 miles, 
Used 2021 Lexus, RX 350 FWD, $38,342, Fair Price, 46,825 miles, 
Used 2021 Lexus, NX 300 F Sport FWD, $21,987, High Price, 146,629 miles, 
Used 2021 Lexus, RX 350 FWD, $36,977, Great Price, 46,821 miles, 
Used 2021 Lexus, ES 300h, $34,888, High Price, 32,075 miles, 
Used 2021 Lexus, ES 250 AWD, $28,000, High Price, 91,536 miles, 
Used 2021 Lexus, ES 250 AWD, $28,000, High Price, 91,536 miles, 
Used 2021 Lexus, UX 250h AWD, $32,000, High Price, 57,138 miles, 
Used 2021 Lexus, RC 350 F SPORT AWD, $37,800, High Price, 4,165 miles, 
Used 2021 Lexus, NX 300 FWD, $27,990, Fair Price, 81,709 miles, 
Used 2021 Lexus, ES 350, $32,835, High Price, 45,466 miles, 
Used 2021 Lexus, NX 300 FWD, $32,990, High Price, 38,663 miles, 
