Used 2019 Nissan, NV200 Compact Cargo S, $21,998, High Price, 68,935 miles, 
Used 2019 Nissan, Sentra SV CVT, $14,599, High Price, 104,801 miles, 
Used 2019 Nissan, Altima SR FWD, $15,145, Great Price, 99,565 miles, 
Used 2019 Nissan, Titan PRO-4X Crew Cab 4WD, $35,997, Excellent Price, 7,510 miles, 
Used 2019 Nissan, Versa SV Sedan CVT, $12,998, High Price, 99,155 miles, 
Used 2019 Nissan, Sentra SV CVT, $10,499, Fair Price, 121,700 miles, 
Used 2019 Nissan, Sentra SV CVT, $14,117, High Price, 65,103 miles, 
Used 2019 Nissan, Versa SV Sedan CVT, $5,562, Excellent Price, 134,166 miles, 
Used 2019 Nissan, Murano Platinum FWD, $19,685, Fair Price, 85,160 miles, 
Used 2019 Nissan, Altima S FWD, $12,980, Excellent Price, 109,266 miles, 
Used 2019 Nissan, Frontier SV Crew Cab 2WD Automatic, $14,499, High Price, 149,757 miles, 
Used 2019 Nissan, Rogue SV FWD, $15,095, High Price, 113,083 miles, 
Used 2019 Nissan, Frontier SV Crew Cab 2WD Automatic, $16,813, Great Price, 128,342 miles, 
Used 2019 Nissan, Frontier SV Crew Cab 2WD Automatic, $22,998, High Price, 42,596 miles, 
Used 2019 Nissan, Pathfinder SV 4WD, $15,297, Excellent Price, 94,233 miles, 
Used 2019 Nissan, Frontier Desert Runner Crew Cab 2WD Automatic, $19,585, Fair Price, 75,000 miles, 
Used 2019 Nissan, Rogue SL FWD, $18,994, Excellent Price, 37,773 miles, 
Used 2019 Nissan, Frontier SV Crew Cab 4WD Automatic (alt), $23,650, High Price, 59,434 miles, 
Used 2019 Nissan, Altima SR VC-Turbo FWD, $21,411, Excellent Price, 33,827 miles, 
Used 2019 Nissan, Pathfinder SV 4WD, $15,297, Excellent Price, 94,233 miles, 
Used 2019 Nissan, 370Z Base Coupe Automatic, $21,283, High Price, 84,674 miles, 
Used 2019 Nissan, Frontier Desert Runner Crew Cab 2WD Automatic, $19,585, Fair Price, 75,000 miles, 
Used 2019 Nissan, Titan PRO-4X Crew Cab 4WD, $33,494, High Price, 49,925 miles, 
Used 2019 Nissan, Armada Platinum AWD, $26,600, High Price, 83,530 miles, 
Used 2019 Nissan, Rogue Sport SV FWD, $21,500, High Price, 40,695 miles, 
Used 2019 Nissan, Armada SL AWD, $21,500, High Price, 91,565 miles, 
