Year/Make, Model, Price, Rating, Mileage
Used 2020 Honda, Accord Hybrid EX CVT, 21981, Great Price, 82348, 
Used 2020 Honda, Accord EX-L 2.0T Automatic, 22999, Excellent Price, 43259, 
Used 2020 Honda, CR-V Hybrid EX-L AWD, 27995, Fair Price, 37412, 
Used 2020 Honda, Civic Sport Sedan CVT, 22998, High Price, 49410, 
Used 2020 Honda, Civic Sport Sedan CVT, 21375, High Price, 55802, 
Used 2020 Honda, Civic EX Sedan CVT, 18555, Great Price, 99412, 
Used 2020 Honda, Accord Sport 1.5T CVT, 20941, Great Price, 71882, 
Used 2020 Honda, CR-V EX AWD, 25998, High Price, 57476, 
Used 2020 Honda, Accord LX 1.5T CVT, 21998, Great Price, 57379, 
Used 2020 Honda, CR-V Touring AWD, 23000, Great Price, 81002, 
Used 2020 Honda, Passport Elite AWD, 26865, Great Price, 55538, 
Used 2020 Honda, Odyssey EX-L, 27000, Great Price, 58809, 
Used 2020 Honda, Accord LX 1.5T CVT, 18500, Great Price, 72489, 
Used 2020 Honda, Accord LX 1.5T CVT, 23998, High Price, 43421, 
Used 2020 Honda, Civic Sport Sedan CVT, 20975, Great Price, 33913, 
Used 2020 Honda, Accord EX-L 1.5T CVT, 25400, Great Price, 22219, 
Used 2020 Honda, Accord EX 1.5T CVT, 21995, Excellent Price, 22076, 
Used 2020 Honda, Insight Touring, 19600, Great Price, 64380, 
Used 2020 Honda, Civic Sport Hatchback CVT, 22995, Fair Price, 32205, 
Used 2020 Honda, Civic LX Sedan CVT, 15995, Excellent Price, 63893, 
Used 2020 Honda, Accord EX-L 1.5T CVT, 23937, Fair Price, 49000, 
Used 2020 Honda, Accord Hybrid Touring CVT, 21000, Excellent Price, 81434, 
Used 2020 Honda, HR-V LX AWD, 20998, Fair Price, 38083, 
Used 2020 Honda, Accord LX 1.5T CVT, 19948, High Price, 82921, 
Used 2020 Honda, Accord Hybrid Touring CVT, 25481, Fair Price, 57945, 
Used 2020 Honda, Ridgeline RTL-E AWD, 24550, Excellent Price, 71378, 
