Used 2025 Lucid, Air Touring AWD, $71,549, Great Price, 163 miles, 
Used 2024 Lucid, Air Touring AWD, $54,995, Fair Price, 14,230 miles, 
Used 2024 Lucid, Air Pure RWD, $52,995, Fair Price, 506 miles, 
Used 2023 Lucid, Air Grand Touring AWD, $65,595, Fair Price, 20,307 miles, 
