Used 2019 Volvo, XC90 T6 Momentum AWD, $17,978, Excellent Price, 113,500 miles, 
Used 2019 Volvo, XC90 T6 Momentum AWD, $23,750, Excellent Price, 75,614 miles, 
Used 2019 Volvo, XC60 Inscription T6 AWD, $22,195, Excellent Price, 65,405 miles, 
Used 2019 Volvo, XC90 T6 Momentum AWD, $17,990, Excellent Price, 92,115 miles, 
Used 2019 Volvo, XC40 T5 R-Design AWD, $18,000, Great Price, 98,568 miles, 
Used 2019 Volvo, S60 T6 R-Design AWD, $26,960, Great Price, 27,079 miles, 
Used 2019 Volvo, XC40 T5 R-Design AWD, $21,490, Great Price, 59,683 miles, 
Used 2019 Volvo, XC60 T6 R-Design AWD, $28,995, Excellent Price, 31,330 miles, 
Used 2019 Volvo, XC90 T6 Inscription AWD, $20,785, Great Price, 96,393 miles, 
Used 2019 Volvo, XC90 T6 Inscription AWD, $19,489, Great Price, 98,726 miles, 
Used 2019 Volvo, XC90 T6 R-Design AWD, $22,595, Great Price, 80,317 miles, 
Used 2019 Volvo, S60 T6 R-Design AWD, $23,995, Great Price, 40,037 miles, 
Used 2019 Volvo, XC90 T6 Momentum AWD, $23,700, Excellent Price, 100,065 miles, 
Used 2019 Volvo, XC40 T5 R-Design AWD, $22,588, Excellent Price, 47,963 miles, 
Used 2019 Volvo, XC40 T5 Momentum AWD, $19,055, Fair Price, 86,149 miles, 
Used 2019 Volvo, XC60 T5 Momentum AWD, $16,995, Great Price, 85,515 miles, 
Used 2019 Volvo, XC90 T6 Momentum AWD, $25,988, Fair Price, 71,362 miles, 
Used 2019 Volvo, XC90 T6 Momentum AWD, $21,495, Fair Price, 80,505 miles, 
Used 2019 Volvo, XC90 T5 Momentum AWD, $24,075, Fair Price, 75,296 miles, 
Used 2019 Volvo, XC90 T6 Momentum AWD, $29,998, High Price, 57,223 miles, 
Used 2019 Volvo, XC90 T6 Inscription AWD, $36,998, High Price, 34,342 miles, 
Used 2019 Volvo, S60 T6 R-Design AWD, $28,998, High Price, 44,320 miles, 
Used 2019 Volvo, XC60 T6 Momentum AWD, $23,998, High Price, 68,585 miles, 
Used 2019 Volvo, XC90 T6 Inscription AWD, $19,990, Great Price, 99,743 miles, 
Used 2019 Volvo, XC40 T5 R-Design AWD, $17,499, High Price, 103,615 miles, 
Used 2019 Volvo, XC90 T6 Inscription AWD, $26,885, High Price, 83,060 miles, 
Used 2019 Volvo, XC60 T5 Momentum AWD, $27,998, High Price, 42,892 miles, 
Used 2019 Volvo, XC40 T5 Momentum AWD, $20,995, High Price, 57,258 miles, 
Used 2019 Volvo, XC40 T5 Momentum AWD, $16,700, Fair Price, 102,753 miles, 
Used 2019 Volvo, S60 T6 Momentum AWD, $18,800, High Price, 64,436 miles, 
Used 2019 Volvo, XC60 T5 Momentum AWD, $17,095, High Price, 112,928 miles, 
Used 2019 Volvo, S60 T6 Momentum AWD, $18,800, High Price, 64,436 miles, 
Used 2019 Volvo, XC60 T5 Momentum AWD, $17,995, High Price, 88,480 miles, 
Used 2019 Volvo, XC90 T6 Inscription AWD, $25,559, High Price, 75,813 miles, 
