Used 2024 Ford, Ranger Lariat SuperCrew 5' Box 4WD, $40,000, Great Price, 18,772 miles, 
Used 2024 Ford, F-150 STX SuperCrew 5.5' Box 4WD, $37,695, Excellent Price, 40,522 miles, 
Used 2024 Ford, Bronco Wildtrak 4 Door Advanced 4WD, $56,994, Great Price, 5,596 miles, 
Used 2024 Ford, Explorer Limited 4WD, $33,980, Great Price, 23,730 miles, 
Used 2024 Ford, Mustang GT Fastback, $39,995, Excellent Price, 8,860 miles, 
Used 2024 Ford, Expedition Max Limited 4WD, $52,000, Great Price, 46,713 miles, 
Used 2024 Ford, Bronco Black Diamond 2 Door 4WD, $41,183, Excellent Price, 7,334 miles, 
Used 2024 Ford, Mustang Mach-E Select AWD, $33,900, Great Price, 4,478 miles, 
Used 2024 Ford, Mustang Mach-E Select AWD, $34,000, Great Price, 10,913 miles, 
Used 2024 Ford, F-150 XLT SuperCrew 5.5' Box 4WD, $48,000, Great Price, 1,787 miles, 
Used 2024 Ford, Super Duty F-250 Limited Crew Cab 6.75' Box 4WD, $84,500, Great Price, 16,198 miles, 
Used 2024 Ford, F-150 Lightning XLT, $42,499, Great Price, 4,788 miles, 
Used 2024 Ford, F-150 Lightning LARIAT, $53,684, Great Price, 10,691 miles, 
Used 2024 Ford, Mustang EcoBoost Fastback, $28,700, Great Price, 13,956 miles, 
Used 2024 Ford, Super Duty F-450 Platinum Crew Cab 8' Box DRW 4WD, $91,500, Great Price, 17,072 miles, 
Used 2024 Ford, Escape Platinum AWD, $26,500, Great Price, 22,020 miles, 
Used 2024 Ford, Bronco Sport Badlands, $32,999, Great Price, 21,292 miles, 
Used 2024 Ford, F-150 LARIAT SuperCrew 5.5' Box 4WD, $55,980, Great Price, 9,761 miles, 
Used 2024 Ford, Explorer XLT 4WD, $31,000, Great Price, 35,144 miles, 
Used 2024 Ford, Bronco Black Diamond 4 Door 4WD, $41,500, Great Price, 30,442 miles, 
Used 2024 Ford, Explorer Limited 4WD, $29,997, Excellent Price, 15,185 miles, 
Used 2024 Ford, Escape Platinum AWD, $25,478, Excellent Price, 27,520 miles, 
Used 2024 Ford, Mustang Mach-E Premium AWD, $36,000, Great Price, 14,935 miles, 
Used 2024 Ford, F-150 XLT SuperCrew 5.5' Box 4WD, $43,998, Fair Price, 26,818 miles, 
Used 2024 Ford, Bronco Sport Outer Banks, $32,728, Excellent Price, 3,914 miles, 
