Year/Make, Model, Price, Rating, Mileage
Used 2019 Honda, Civic Sport Coupe CVT, 16845, Fair Price, 107621, 
Used 2019 Honda, HR-V LX AWD, 19665, Fair Price, 37536, 
Used 2019 Honda, Insight Touring, 17500, Fair Price, 82035, 
Used 2019 Honda, Accord LX 1.5T CVT, 20836, Great Price, 54855, 
Used 2019 Honda, Pilot LX AWD, 14795, Excellent Price, 117026, 
Used 2019 Honda, Accord Sport 1.5T CVT, 23998, High Price, 64523, 
Used 2019 Honda, Pilot Touring 7-Passenger AWD, 25995, Great Price, 60480, 
Used 2019 Honda, Pilot EX-L AWD, 28998, Great Price, 47371, 
Used 2019 Honda, Odyssey EX-L, 24495, Fair Price, 71173, 
Used 2019 Honda, Odyssey Elite, 29500, Great Price, 65971, 
Used 2019 Honda, HR-V LX FWD, 18998, High Price, 74625, 
Used 2019 Honda, Civic LX Sedan CVT, 16824, Great Price, 50501, 
Used 2019 Honda, CR-V LX FWD, 20900, Fair Price, 57761, 
Used 2019 Honda, HR-V LX AWD, 19665, Fair Price, 37536, 
Used 2019 Honda, Accord LX 1.5T CVT, 16985, Excellent Price, 91839, 
Used 2019 Honda, HR-V LX AWD, 14985, Excellent Price, 79950, 
Used 2019 Honda, Civic Sport Coupe CVT, 16845, Fair Price, 107621, 
Used 2019 Honda, Odyssey EX-L, 16995, High Price, 163498, 
Used 2019 Honda, Insight Touring, 17500, Fair Price, 82035, 
Used 2019 Honda, Accord LX 1.5T CVT, 20836, Great Price, 54855, 
Used 2019 Honda, Civic Sport Sedan CVT, 16000, Fair Price, 107448, 
Used 2019 Honda, Civic Si Sedan with Summer Tires, 17163, Excellent Price, 85096, 
Used 2019 Honda, Civic Type R Manual, 27977, Great Price, 111146, 
Used 2019 Honda, Accord Sport 2.0T Automatic, 23317, Fair Price, 64382, 
Used 2019 Honda, Fit LX CVT, 14995, Excellent Price, 37838, 
Used 2019 Honda, CR-V LX FWD, 17500, Excellent Price, 77028, 
Used 2019 Honda, Accord EX-L 2.0T Automatic, 25861, Great Price, 40822, 
Used 2019 Honda, Accord LX 1.5T CVT, 17997, Excellent Price, 57592, 
Used 2019 Honda, Civic Sport Coupe CVT, 21990, Great Price, 14405, 
Used 2019 Honda, Ridgeline Sport AWD, 26998, Fair Price, 46907, 
Used 2019 Honda, Civic Si Coupe, 22995, Fair Price, 51034, 
Used 2019 Honda, Accord Sport 1.5T CVT, 19444, Excellent Price, 51923, 
Used 2019 Honda, Civic EX Sedan CVT, 22998, Fair Price, 46704, 
Used 2019 Honda, Accord Hybrid CVT, 14995, High Price, 133707, 
Used 2019 Honda, Civic LX Sedan CVT, 18995, Fair Price, 10563, 
Used 2019 Honda, Civic EX Hatchback CVT, 23490, Fair Price, 21048, 
Used 2019 Honda, Pilot Elite AWD, 23995, Excellent Price, 76012, 
Used 2019 Honda, Accord Sport 2.0T Automatic, 20163, Excellent Price, 64058, 
Used 2019 Honda, CR-V EX AWD, 25680, Fair Price, 26792, 
Used 2019 Honda, HR-V LX AWD, 21250, Great Price, 6125, 
Used 2019 Honda, Pilot EX-L with Navigation/Rear Entertainment System FWD, 23566, Great Price, 87869, 
Used 2019 Honda, Accord LX 1.5T CVT, 16950, Great Price, 52956, 
