Year/Make, Model, Price, Rating, Mileage
Used 2023 Subaru, Outback Limited, 28700, Fair Price, 38859, 
Used 2023 Subaru, Crosstrek 2.0i CVT, 25990, Fair Price, 14255, 
Used 2023 Subaru, Crosstrek 2.5i Limited CVT, 28356, Fair Price, 22194, 
Used 2023 Subaru, Forester Sport, 24977, Excellent Price, 51269, 
Used 2023 Subaru, Outback Limited, 28498, High Price, 15474, 
Used 2023 Subaru, Outback Onyx Edition, 26950, Fair Price, 46650, 
Used 2023 Subaru, Crosstrek 2.5i Limited CVT, 28151, Great Price, 5521, 
Used 2023 Subaru, Crosstrek 2.5i Limited CVT, 27498, Great Price, 15351, 
Used 2023 Subaru, Crosstrek 2.5i Sport CVT, 26599, Great Price, 13454, 
Used 2023 Subaru, Outback Limited, 27300, Fair Price, 52836, 
Used 2023 Subaru, Crosstrek 2.5i Limited CVT, 27990, Fair Price, 40980, 
Used 2023 Subaru, Outback Wilderness, 28821, Fair Price, 56091, 
Used 2023 Subaru, Crosstrek 2.0i CVT, 25267, Fair Price, 5643, 
Used 2023 Subaru, Crosstrek 2.0i Premium CVT, 26568, High Price, 37302, 
Used 2023 Subaru, Forester Sport, 26498, High Price, 12170, 
Used 2023 Subaru, Crosstrek 2.0i CVT, 25990, Fair Price, 14255, 
Used 2023 Subaru, Crosstrek 2.0i Premium CVT, 25440, Fair Price, 33630, 
Used 2023 Subaru, Outback Limited, 27300, Fair Price, 52836, 
Used 2023 Subaru, Impreza Premium 5-door CVT, 24714, High Price, 18400, 
Used 2023 Subaru, Forester Limited, 32342, Fair Price, 11573, 
Used 2023 Subaru, Crosstrek 2.0i CVT, 23322, Fair Price, 55246, 
Used 2023 Subaru, Outback Base, 24900, Fair Price, 44850, 
Used 2023 Subaru, Crosstrek 2.5i Limited CVT, 24900, High Price, 73920, 
Used 2023 Subaru, Crosstrek 2.0i Premium Manual, 24998, High Price, 30281, 
Used 2023 Subaru, Crosstrek 2.0i Premium CVT, 25530, Fair Price, 33239, 
Used 2023 Subaru, Crosstrek 2.5i Limited CVT, 27990, Fair Price, 40980, 
Used 2023 Subaru, Crosstrek 2.0i CVT, 24991, Fair Price, 20538, 
Used 2023 Subaru, Ascent Limited 7-Passenger, 33600, Excellent Price, 26964, 
Used 2023 Subaru, Outback Premium, 28947, High Price, 20583, 
Used 2023 Subaru, Crosstrek 2.5i Limited CVT, 26900, Fair Price, 43939, 
Used 2023 Subaru, Crosstrek 2.0i Premium CVT, 22490, High Price, 70619, 
Used 2023 Subaru, Ascent Onyx Edition Limited 7-Passenger, 32998, Excellent Price, 58476, 
Used 2023 Subaru, Outback Touring XT, 29998, High Price, 13780, 
Used 2023 Subaru, Outback Wilderness, 29498, High Price, 14227, 
Used 2023 Subaru, Outback Onyx Edition, 26847, High Price, 57615, 
Used 2023 Subaru, WRX Premium Manual, 26998, High Price, 15563, 
