Used 2019 Kia, Sportage SX Turbo AWD, $18,000, High Price, 78,834 miles, 
Used 2019 Kia, Sorento LX I4 AWD, $22,245, High Price, 47,705 miles, 
Used 2019 Kia, Soul Base Automatic, $12,999, High Price, 76,249 miles, 
Used 2019 Kia, Optima SX Turbo, $8,995, Excellent Price, 90,382 miles, 
Used 2019 Kia, Rio S Sedan, $12,998, High Price, 98,622 miles, 
Used 2019 Kia, Forte LXS IVT, $11,900, Great Price, 106,980 miles, 
Used 2019 Kia, Sorento LX I4 AWD, $17,200, High Price, 68,008 miles, 
Used 2019 Kia, Rio S Sedan, $13,599, High Price, 105,569 miles, 
Used 2019 Kia, Sorento LX I4 FWD, $17,998, High Price, 73,000 miles, 
Used 2019 Kia, Sorento LX I4 AWD, $16,418, Fair Price, 87,046 miles, 
Used 2019 Kia, Optima LX, $14,000, High Price, 48,449 miles, 
Used 2019 Kia, Sorento LX I4 AWD, $16,508, High Price, 87,070 miles, 
Used 2019 Kia, Soul Base Manual, $13,998, Fair Price, 48,917 miles, 
Used 2019 Kia, Soul Base Manual, $13,998, Fair Price, 48,917 miles, 
Used 2019 Kia, Soul ! Automatic, $16,998, Fair Price, 69,382 miles, 
Used 2019 Kia, Optima LX, $14,500, High Price, 92,852 miles, 
Used 2019 Kia, Forte S IVT, $18,777, High Price, 58,958 miles, 
