Year/Make, Model, Price, Rating, Mileage
Used 2024 Hyundai, Elantra SEL IVT, 18806, Great Price, 35296, 
Used 2024 Hyundai, Palisade Calligraphy AWD, 39750, Excellent Price, 29281, 
Used 2024 Hyundai, Santa Fe Limited AWD, 37000, Fair Price, 3382, 
Used 2024 Hyundai, Tucson SEL AWD Limited Availability, 23906, Great Price, 26436, 
Used 2024 Hyundai, Tucson Plug-In Hybrid Limited AWD, 34990, Great Price, 10, 
Used 2024 Hyundai, Tucson Plug-In Hybrid SEL AWD, 30128, Great Price, 6992, 
Used 2024 Hyundai, Sonata SEL AWD, 24972, Great Price, 5984, 
Used 2024 Hyundai, Sonata SEL FWD, 23977, Fair Price, 7382, 
Used 2024 Hyundai, Palisade Calligraphy Night Edition AWD, 39990, Excellent Price, 28835, 
Used 2024 Hyundai, Palisade Calligraphy AWD, 35968, Excellent Price, 59549, 
Used 2024 Hyundai, Palisade Calligraphy Night Edition AWD, 40555, Great Price, 30827, 
Used 2024 Hyundai, Tucson SEL FWD Limited Availability, 22990, Excellent Price, 19250, 
Used 2024 Hyundai, Tucson Limited AWD, 27791, Excellent Price, 17198, 
Used 2024 Hyundai, Sonata SEL FWD, 22695, Fair Price, 12167, 
Used 2024 Hyundai, Sonata Hybrid SEL FWD, 25495, Excellent Price, 3119, 
Used 2024 Hyundai, IONIQ 5 SEL AWD, 30505, Fair Price, 17233, 
Used 2024 Hyundai, Elantra SE IVT, 18990, Great Price, 8095, 
Used 2024 Hyundai, Elantra SEL IVT, 16999, Excellent Price, 26357, 
Used 2024 Hyundai, Tucson Hybrid Limited AWD, 32461, Great Price, 14478, 
Used 2024 Hyundai, Santa Fe XRT AWD, 33146, Great Price, 9225, 
Used 2024 Hyundai, Palisade Calligraphy Night Edition AWD, 40291, Great Price, 35957, 
Used 2024 Hyundai, Tucson Hybrid Blue AWD, 29495, Great Price, 3933, 
Used 2024 Hyundai, Palisade Limited AWD, 39241, Great Price, 20762, 
Used 2024 Hyundai, Tucson Hybrid Limited AWD, 33600, Fair Price, 8348, 
Used 2024 Hyundai, Tucson Plug-In Hybrid Limited AWD, 36000, Fair Price, 3177, 
Used 2024 Hyundai, Sonata SEL FWD, 23949, Great Price, 3930, 
Used 2024 Hyundai, Santa Fe SEL AWD, 28990, Fair Price, 38545, 
Used 2024 Hyundai, Elantra SE IVT, 18990, Great Price, 11732, 
Used 2024 Hyundai, Palisade Calligraphy Night Edition AWD, 43908, Great Price, 17047, 
Used 2024 Hyundai, Elantra SEL IVT, 20998, Fair Price, 32116, 
Used 2024 Hyundai, Santa Cruz XRT AWD, 31990, Great Price, 8068, 
Used 2024 Hyundai, Sonata SEL AWD, 23888, Great Price, 19400, 
Used 2024 Hyundai, Elantra SEL IVT, 19504, Fair Price, 22276, 
Used 2024 Hyundai, Elantra SEL IVT, 21995, Fair Price, 6591, 
Used 2024 Hyundai, Palisade Calligraphy AWD, 44998, Fair Price, 23808, 
Used 2024 Hyundai, IONIQ 5 Limited AWD, 39999, Excellent Price, 1834, 
Used 2024 Hyundai, Elantra SE IVT, 19755, Fair Price, 3724, 
Used 2024 Hyundai, Sonata Hybrid SEL FWD, 23290, Great Price, 27450, 
Used 2024 Hyundai, Elantra SEL IVT, 17499, Excellent Price, 6055, 
Used 2024 Hyundai, Elantra SEL IVT, 19490, Great Price, 26977, 
Used 2024 Hyundai, Kona SEL AWD, 23799, Great Price, 8525, 
Used 2024 Hyundai, Tucson Plug-In Hybrid Limited AWD, 34799, Great Price, 5082, 
Used 2024 Hyundai, Sonata SEL FWD, 23504, Fair Price, 8761, 
Used 2024 Hyundai, Tucson Limited AWD, 28799, Great Price, 21401, 
Used 2024 Hyundai, IONIQ 5 Disney100 Platinum Edition AWD, 43837, Great Price, 28, 
Used 2024 Hyundai, Tucson Hybrid Blue AWD, 28495, Great Price, 4118, 
Used 2024 Hyundai, Tucson SEL AWD Limited Availability, 25306, Fair Price, 22179, 
Used 2024 Hyundai, Santa Cruz Limited AWD, 33495, Great Price, 5187, 
Used 2024 Hyundai, Santa Fe Limited AWD, 36998, Great Price, 6575, 
Used 2024 Hyundai, Tucson Hybrid Blue AWD, 28384, Fair Price, 10278, 
Used 2024 Hyundai, Elantra SEL IVT, 22888, Fair Price, 3161, 
Used 2024 Hyundai, Santa Fe Hybrid Calligraphy AWD, 39681, Great Price, 18194, 
Used 2024 Hyundai, Tucson Hybrid Limited AWD, 32253, Fair Price, 25595, 
Used 2024 Hyundai, Santa Fe Calligraphy AWD, 40905, Fair Price, 4299, 
Used 2024 Hyundai, Palisade XRT FWD, 33161, Fair Price, 45621, 
Used 2024 Hyundai, Tucson XRT AWD, 27968, Fair Price, 7259, 
Used 2024 Hyundai, Sonata SEL FWD, 23310, Fair Price, 7016, 
Used 2024 Hyundai, Sonata N Line FWD, 29142, Great Price, 13425, 
Used 2024 Hyundai, Tucson Plug-In Hybrid Limited AWD, 28290, Excellent Price, 17615, 
Used 2024 Hyundai, Elantra SEL IVT, 17999, Great Price, 24480, 
Used 2024 Hyundai, Elantra SEL IVT, 20508, Great Price, 6931, 
Used 2024 Hyundai, Tucson Hybrid Limited AWD, 30500, Fair Price, 32689, 
Used 2024 Hyundai, Santa Fe Limited FWD, 29999, Great Price, 11506, 
Used 2024 Hyundai, Kona SEL AWD, 24998, Fair Price, 13348, 
Used 2024 Hyundai, IONIQ 6 SEL AWD, 29490, Great Price, 9582, 
Used 2024 Hyundai, Santa Cruz XRT AWD, 30696, Fair Price, 26321, 
Used 2024 Hyundai, Tucson SE AWD Limited Availability, 23495, Fair Price, 21940, 
Used 2024 Hyundai, Tucson Limited AWD, 27781, Excellent Price, 14144, 
Used 2024 Hyundai, Santa Cruz SEL AWD, 25799, Fair Price, 23290, 
Used 2024 Hyundai, Venue SEL IVT, 20990, Fair Price, 3795, 
Used 2024 Hyundai, Tucson SEL AWD Limited Availability, 26990, Fair Price, 13811, 
Used 2024 Hyundai, Tucson SEL AWD Limited Availability, 24998, Fair Price, 23107, 
Used 2024 Hyundai, Santa Fe Limited AWD, 36995, Fair Price, 17575, 
Used 2024 Hyundai, Venue Limited IVT, 21888, High Price, 4644, 
Used 2024 Hyundai, Santa Fe Limited AWD, 37498, Fair Price, 5248, 
Used 2024 Hyundai, Elantra SEL IVT, 20499, Great Price, 5367, 
Used 2024 Hyundai, Tucson Plug-In Hybrid Limited AWD, 28290, Excellent Price, 17615, 
Used 2024 Hyundai, Tucson Hybrid Limited AWD, 32253, Fair Price, 25595, 
Used 2024 Hyundai, IONIQ 6 Limited AWD, 34954, High Price, 2268, 
Used 2024 Hyundai, Santa Fe Hybrid Calligraphy AWD, 39681, Great Price, 18194, 
Used 2024 Hyundai, Elantra Hybrid Limited DCT, 26104, High Price, 16530, 
Used 2024 Hyundai, Sonata Hybrid SEL FWD, 23290, Great Price, 27450, 
Used 2024 Hyundai, Santa Cruz Limited AWD, 33495, Great Price, 5187, 
Used 2024 Hyundai, Santa Fe Limited AWD, 36998, Great Price, 6575, 
Used 2024 Hyundai, Tucson Hybrid Blue AWD, 29895, Fair Price, 10083, 
Used 2024 Hyundai, Tucson Limited AWD, 28799, Great Price, 21401, 
Used 2024 Hyundai, IONIQ 5 Limited AWD, 39999, Excellent Price, 1834, 
Used 2024 Hyundai, Palisade SEL FWD, 35785, High Price, 18188, 
Used 2024 Hyundai, Tucson SEL AWD Limited Availability, 22880, High Price, 48652, 
Used 2024 Hyundai, Sonata SEL AWD, 21332, Great Price, 19836, 
Used 2024 Hyundai, Sonata N Line FWD, 29142, Great Price, 13425, 
Used 2024 Hyundai, Tucson Plug-In Hybrid Limited AWD, 34995, Great Price, 9709, 
Used 2024 Hyundai, Santa Fe Limited AWD, 36995, Fair Price, 17575, 
Used 2024 Hyundai, Sonata N Line FWD, 28900, Fair Price, 12400, 
Used 2024 Hyundai, Santa Cruz XRT AWD, 30696, Fair Price, 26321, 
Used 2024 Hyundai, Tucson Hybrid Blue AWD, 28495, Great Price, 4118, 
Used 2024 Hyundai, Santa Fe Calligraphy AWD, 34395, Fair Price, 4803, 
Used 2024 Hyundai, Kona N Line AWD, 26872, Fair Price, 3233, 
Used 2024 Hyundai, IONIQ 6 SEL AWD, 29490, Great Price, 9582, 
Used 2024 Hyundai, Elantra SEL IVT, 17999, Great Price, 24480, 
Used 2024 Hyundai, Venue SEL IVT, 20990, Fair Price, 3795, 
Used 2024 Hyundai, Santa Fe Limited FWD, 29999, Great Price, 11506, 
Used 2024 Hyundai, Palisade XRT AWD, 38799, Fair Price, 19105, 
Used 2024 Hyundai, Santa Fe Hybrid Limited AWD, 39763, High Price, 11829, 
Used 2024 Hyundai, Kona SEL FWD, 22589, High Price, 19365, 
Used 2024 Hyundai, Tucson Hybrid Limited AWD, 38998, High Price, 2406, 
Used 2024 Hyundai, Elantra SEL IVT, 14995, Great Price, 37987, 
Used 2024 Hyundai, Santa Fe Limited AWD, 37498, Fair Price, 5248, 
Used 2024 Hyundai, Santa Cruz SEL AWD, 29998, High Price, 6815, 
Used 2024 Hyundai, Tucson SEL AWD Limited Availability, 25995, High Price, 30605, 
Used 2024 Hyundai, Santa Fe Calligraphy AWD, 40990, Fair Price, 3522, 
Used 2024 Hyundai, Tucson Limited FWD, 24992, Fair Price, 44043, 
Used 2024 Hyundai, Venue Limited IVT, 21500, High Price, 8371, 
Used 2024 Hyundai, Santa Fe Calligraphy AWD, 34595, Fair Price, 4412, 
Used 2024 Hyundai, Santa Fe Limited AWD, 37298, Fair Price, 7395, 
Used 2024 Hyundai, Palisade Calligraphy AWD, 47899, Fair Price, 10754, 
Used 2024 Hyundai, Santa Fe Calligraphy AWD, 34995, Fair Price, 4488, 
Used 2024 Hyundai, IONIQ 5 Disney100 Platinum Edition AWD, 41295, Fair Price, 6757, 
Used 2024 Hyundai, Elantra SEL IVT, 20995, High Price, 27901, 
Used 2024 Hyundai, Tucson SE AWD, 24290, Fair Price, 13801, 
Used 2024 Hyundai, Santa Fe Calligraphy AWD, 34795, Fair Price, 11722, 
Used 2024 Hyundai, Palisade Calligraphy Night Edition AWD, 40195, Fair Price, 8263, 
Used 2024 Hyundai, Palisade Calligraphy AWD, 40995, Great Price, 24890, 
Used 2024 Hyundai, Sonata SEL FWD, 22822, Great Price, 13305, 
Used 2024 Hyundai, Kona Limited AWD, 25291, Great Price, 22483, 
Used 2024 Hyundai, Kona N Line AWD, 26195, High Price, 10268, 
Used 2024 Hyundai, Tucson SEL AWD Limited Availability, 27904, Fair Price, 5205, 
Used 2024 Hyundai, Santa Fe SEL AWD, 31062, Fair Price, 17791, 
Used 2024 Hyundai, Santa Fe Calligraphy AWD, 34995, High Price, 3855, 
Used 2024 Hyundai, Kona SEL AWD, 18450, Excellent Price, 26096, 
Used 2024 Hyundai, Santa Fe Calligraphy AWD, 34695, Fair Price, 4507, 
Used 2024 Hyundai, Elantra SEL IVT, 16995, Excellent Price, 26953, 
Used 2024 Hyundai, IONIQ 5 Limited AWD, 32795, High Price, 3882, 
Used 2024 Hyundai, Santa Fe Calligraphy AWD, 34995, High Price, 5463, 
Used 2024 Hyundai, Santa Fe Limited FWD, 34645, High Price, 21477, 
Used 2024 Hyundai, IONIQ 6 SEL AWD, 31250, Great Price, 8110, 
Used 2024 Hyundai, IONIQ 6 Limited AWD, 34954, High Price, 2268, 
Used 2024 Hyundai, Santa Cruz SEL AWD, 29998, High Price, 6815, 
Used 2024 Hyundai, Tucson Hybrid Limited AWD, 38998, High Price, 2406, 
Used 2024 Hyundai, Palisade SEL AWD, 34990, Fair Price, 30789, 
Used 2024 Hyundai, IONIQ 5 Limited AWD, 32795, High Price, 3882, 
Used 2024 Hyundai, Santa Fe Calligraphy AWD, 34995, High Price, 5463, 
Used 2024 Hyundai, Santa Fe Limited AWD, 37282, Fair Price, 8231, 
Used 2024 Hyundai, Palisade Calligraphy AWD, 40990, Fair Price, 34560, 
Used 2024 Hyundai, Santa Fe Limited FWD, 34645, High Price, 21477, 
Used 2024 Hyundai, Tucson SEL AWD Limited Availability, 25270, Fair Price, 27860, 
Used 2024 Hyundai, Kona SEL AWD, 25995, High Price, 10170, 
Used 2024 Hyundai, Palisade Calligraphy AWD, 42995, High Price, 27559, 
Used 2024 Hyundai, IONIQ 5 Limited AWD, 34290, Fair Price, 2446, 
Used 2024 Hyundai, Santa Fe Hybrid SEL AWD, 34304, Fair Price, 4960, 
Used 2024 Hyundai, Santa Fe SEL FWD, 30490, Fair Price, 18237, 
Used 2024 Hyundai, Santa Cruz SE AWD, 27850, Fair Price, 7414, 
Used 2024 Hyundai, Kona Limited AWD, 25291, Great Price, 22483, 
Used 2024 Hyundai, Santa Fe Calligraphy AWD, 42805, High Price, 3838, 
Used 2024 Hyundai, Tucson SEL AWD Limited Availability, 23474, Fair Price, 36015, 
Used 2024 Hyundai, Tucson SEL AWD Limited Availability, 22880, High Price, 48652, 
Used 2024 Hyundai, Palisade Calligraphy AWD, 38490, High Price, 21396, 
Used 2024 Hyundai, Tucson SEL AWD Limited Availability, 25995, High Price, 30605, 
Used 2024 Hyundai, Sonata Hybrid SEL FWD, 26490, Fair Price, 4347, 
Used 2024 Hyundai, Santa Fe SEL AWD, 28290, Fair Price, 7514, 
Used 2024 Hyundai, Venue Limited IVT, 21216, Fair Price, 7875, 
Used 2024 Hyundai, Kona Limited AWD, 28905, High Price, 4908, 
Used 2024 Hyundai, Tucson SE FWD Limited Availability, 19999, Fair Price, 10712, 
Used 2024 Hyundai, Palisade Calligraphy Night Edition AWD, 38999, Great Price, 44614, 
Used 2024 Hyundai, Elantra SE IVT, 17457, Great Price, 23661, 
Used 2024 Hyundai, Tucson Hybrid Limited AWD, 32345, Fair Price, 20128, 
Used 2024 Hyundai, Palisade Limited AWD, 42881, Fair Price, 14759, 
Used 2024 Hyundai, Santa Fe Calligraphy AWD, 42481, Fair Price, 4925, 
Used 2024 Hyundai, Tucson SEL AWD Limited Availability, 25908, High Price, 21054, 
Used 2024 Hyundai, Elantra SEL IVT, 16995, Excellent Price, 26953, 
Used 2024 Hyundai, Santa Fe XRT AWD, 29895, High Price, 8077, 
Used 2024 Hyundai, Venue SE IVT, 21998, High Price, 6460, 
Used 2024 Hyundai, Palisade Calligraphy AWD, 46372, Fair Price, 9087, 
Used 2024 Hyundai, Elantra SEL IVT, 22990, High Price, 3886, 
Used 2024 Hyundai, Tucson Hybrid Blue AWD, 29500, High Price, 7472, 
Used 2024 Hyundai, Elantra Hybrid Limited DCT, 23797, High Price, 40479, 
Used 2024 Hyundai, Sonata N Line FWD, 28900, Fair Price, 12400, 
Used 2024 Hyundai, Sonata Hybrid SEL FWD, 26990, High Price, 3005, 
Used 2024 Hyundai, Elantra Limited IVT, 21799, Fair Price, 37614, 
Used 2024 Hyundai, Tucson Limited AWD, 27834, Fair Price, 35689, 
Used 2024 Hyundai, Palisade Limited AWD, 42997, High Price, 19635, 
Used 2024 Hyundai, Kona SEL FWD, 23495, Fair Price, 9941, 
Used 2024 Hyundai, Tucson Hybrid Limited AWD, 28499, Fair Price, 18971, 
Used 2024 Hyundai, IONIQ 5 Disney100 Platinum Edition AWD, 41295, Fair Price, 6757, 
Used 2024 Hyundai, IONIQ 5 SEL AWD, 26995, High Price, 1465, 
Used 2024 Hyundai, Sonata SEL FWD, 23494, Fair Price, 37693, 
Used 2024 Hyundai, Venue SEL IVT, 16995, High Price, 200, 
Used 2024 Hyundai, Palisade SEL AWD, 41999, High Price, 5480, 
Used 2024 Hyundai, Santa Fe SEL AWD, 28490, High Price, 12875, 
Used 2024 Hyundai, IONIQ 5 Limited AWD, 48409, High Price, 30, 
Used 2024 Hyundai, Venue SEL IVT, 23559, High Price, 8343, 
Used 2024 Hyundai, Santa Fe Limited AWD, 33490, High Price, 10369, 
Used 2024 Hyundai, IONIQ 5 Limited RWD, 30995, High Price, 6796, 
Used 2024 Hyundai, Tucson SEL FWD Limited Availability, 22940, Fair Price, 33414, 
Used 2024 Hyundai, Venue SEL IVT, 16995, High Price, 200, 
Used 2024 Hyundai, Tucson Hybrid Limited AWD, 32345, Fair Price, 20128, 
Used 2024 Hyundai, Tucson SEL AWD Limited Availability, 23889, Fair Price, 31786, 
Used 2024 Hyundai, Palisade SEL AWD, 41999, High Price, 5480, 
Used 2024 Hyundai, Palisade Calligraphy AWD, 46372, Fair Price, 9087, 
Used 2024 Hyundai, Elantra Limited IVT, 21799, Fair Price, 37614, 
Used 2024 Hyundai, Sonata SEL FWD, 24995, High Price, 14057, 
Used 2024 Hyundai, Palisade SEL FWD, 36859, High Price, 12226, 
Used 2024 Hyundai, Santa Cruz XRT AWD, 30390, High Price, 5446, 
Used 2024 Hyundai, Tucson Hybrid Limited AWD, 28499, Fair Price, 18971, 
Used 2024 Hyundai, Santa Fe XRT AWD, 35900, High Price, 18567, 
Used 2024 Hyundai, Tucson Limited AWD, 27834, Fair Price, 35689, 
Used 2024 Hyundai, Sonata SEL FWD, 23494, Fair Price, 37693, 
Used 2024 Hyundai, Elantra Hybrid Limited DCT, 22999, High Price, 18953, 
Used 2024 Hyundai, Tucson Hybrid Blue AWD, 28742, High Price, 32453, 
Used 2024 Hyundai, Tucson Hybrid N Line AWD, 34000, High Price, 11472, 
Used 2024 Hyundai, Tucson Hybrid Limited AWD, 29499, High Price, 12127, 
Used 2024 Hyundai, Kona N Line AWD, 20999, High Price, 20215, 
Used 2024 Hyundai, IONIQ 5 SEL AWD, 28897, High Price, 2199, 
Used 2024 Hyundai, Santa Fe Hybrid SEL AWD, 35987, High Price, 10377, 
Used 2024 Hyundai, Santa Fe Hybrid Limited AWD, 39195, Fair Price, 7868, 
Used 2024 Hyundai, Tucson SEL FWD Limited Availability, 22940, Fair Price, 33414, 
Used 2024 Hyundai, Santa Cruz SEL FWD, 22998, High Price, 12693, 
Used 2024 Hyundai, Tucson Hybrid SEL Convenience AWD, 27633, Fair Price, 42015, 
Used 2024 Hyundai, Elantra SEL IVT, 23990, High Price, 10981, 
Used 2024 Hyundai, IONIQ 5 Limited AWD, 57168, High Price, 30, 
Used 2024 Hyundai, IONIQ 5 Limited AWD, 57030, High Price, 30, 
Used 2024 Hyundai, Palisade Calligraphy Night Edition AWD, 41750, Fair Price, 34224, 
Used 2024 Hyundai, Santa Fe SEL AWD, 28499, High Price, 1783, 
Used 2024 Hyundai, Sonata N Line FWD, 25999, Fair Price, 13234, 
Used 2024 Hyundai, IONIQ 5 Limited AWD, 57168, High Price, 30, 
Used 2024 Hyundai, IONIQ 5 Limited AWD, 57030, High Price, 30, 
Used 2024 Hyundai, Tucson SEL AWD Limited Availability, 24777, Fair Price, 20794, 
Used 2024 Hyundai, Kona SEL AWD, 22490, High Price, 44094, 
Used 2024 Hyundai, Sonata Hybrid Limited FWD, 32995, High Price, 11152, 
Used 2024 Hyundai, Santa Fe XRT AWD, 33495, High Price, 651, 
