Used 2024 Chrysler, Pacifica Touring L FWD, $27,384, Great Price, 50,905 miles, 
Used 2024 Chrysler, Pacifica Hybrid Select FWD, $30,700, Great Price, 56,373 miles, 
Used 2024 Chrysler, Pacifica Hybrid Select FWD, $34,500, Great Price, 9,990 miles, 
Used 2024 Chrysler, Pacifica Hybrid S FWD, $32,488, Great Price, 26,305 miles, 
Used 2024 Chrysler, Pacifica Touring L FWD, $27,999, Great Price, 28,690 miles, 
Used 2024 Chrysler, Pacifica Touring FWD, $30,988, Fair Price, 32,416 miles, 
Used 2024 Chrysler, Pacifica Hybrid Select FWD, $30,170, Great Price, 53,735 miles, 
Used 2024 Chrysler, Pacifica Touring FWD, $31,995, High Price, 33,566 miles, 
Used 2024 Chrysler, Pacifica Touring FWD, $28,999, High Price, 59,293 miles, 
Used 2024 Chrysler, Pacifica Touring L FWD, $27,500, High Price, 62,823 miles, 
