Used 2022 Dodge, Challenger SRT Hellcat Redeye Widebody RWD, $82,759, Fair Price, 9,973 miles, 
Used 2022 Dodge, Charger SXT RWD, $20,949, Great Price, 28,760 miles, 
Used 2022 Dodge, Durango R/T AWD, $35,536, Fair Price, 30,294 miles, 
Used 2022 Dodge, Durango GT Plus AWD, $31,995, Fair Price, 38,668 miles, 
Used 2022 Dodge, Charger SXT RWD, $16,299, Great Price, 51,550 miles, 
Used 2022 Dodge, Challenger R/T Scat Pack RWD, $42,977, Fair Price, 21,078 miles, 
Used 2022 Dodge, Charger SXT RWD, $19,990, Fair Price, 57,648 miles, 
Used 2022 Dodge, Durango GT Plus AWD, $27,855, Fair Price, 43,725 miles, 
Used 2022 Dodge, Charger SXT RWD, $19,490, Great Price, 67,521 miles, 
Used 2022 Dodge, Durango SXT AWD, $30,478, High Price, 24,551 miles, 
Used 2022 Dodge, Charger Scat Pack Widebody RWD, $41,999, Excellent Price, 25,181 miles, 
Used 2022 Dodge, Charger SXT RWD, $19,700, High Price, 74,180 miles, 
Used 2022 Dodge, Durango GT Plus AWD, $31,885, High Price, 55,852 miles, 
Used 2022 Dodge, Durango GT Plus AWD, $34,579, Fair Price, 33,342 miles, 
Used 2022 Dodge, Durango GT Plus AWD, $31,995, High Price, 39,476 miles, 
Used 2022 Dodge, Challenger SXT RWD, $21,988, Fair Price, 50,379 miles, 
Used 2022 Dodge, Durango GT AWD, $30,660, Fair Price, 39,967 miles, 
Used 2022 Dodge, Challenger SXT RWD, $26,795, High Price, 50,001 miles, 
Used 2022 Dodge, Durango R/T AWD, $38,593, Fair Price, 32,567 miles, 
Used 2022 Dodge, Durango SXT AWD, $33,895, High Price, 13,427 miles, 
Used 2022 Dodge, Durango GT Plus AWD, $31,994, High Price, 37,913 miles, 
Used 2022 Dodge, Durango GT Plus AWD, $34,495, High Price, 30,164 miles, 
Used 2022 Dodge, Charger SXT RWD, $18,995, High Price, 41,267 miles, 
Used 2022 Dodge, Durango R/T AWD, $39,600, High Price, 14,380 miles, 
Used 2022 Dodge, Charger SXT RWD, $21,200, High Price, 57,855 miles, 
Used 2022 Dodge, Durango Citadel RWD, $32,799, High Price, 54,570 miles, 
Used 2022 Dodge, Durango GT Plus AWD, $35,150, High Price, 35,661 miles, 
Used 2022 Dodge, Charger SXT RWD, $20,950, High Price, 57,605 miles, 
Used 2022 Dodge, Durango R/T Plus AWD, $41,495, High Price, 30,048 miles, 
Used 2022 Dodge, Charger SRT Hellcat Widebody RWD, $69,490, High Price, 18,405 miles, 
Used 2022 Dodge, Durango R/T AWD, $35,914, Fair Price, 60,285 miles, 
