Used 2020 Mazda, MX-5 Miata RF Grand Touring Automatic, $28,998, Great Price, 14,010 miles, 
Used 2020 Mazda, CX-5 Grand Touring AWD, $21,354, High Price, 70,376 miles, 
Used 2020 Mazda, CX-5 Grand Touring FWD, $21,791, Fair Price, 65,842 miles, 
Used 2020 Mazda, CX-5 Grand Touring AWD, $21,000, High Price, 85,300 miles, 
Used 2020 Mazda, CX-5 Grand Touring AWD, $23,990, Fair Price, 41,459 miles, 
