Used 2023 Dodge, Challenger R/T RWD, $37,990, Great Price, 5,054 miles, 
Used 2023 Dodge, Durango GT AWD, $26,500, Excellent Price, 41,442 miles, 
Used 2023 Dodge, Durango R/T Plus AWD, $33,449, Great Price, 43,814 miles, 
Used 2023 Dodge, Challenger R/T RWD, $31,000, Excellent Price, 40,791 miles, 
Used 2023 Dodge, Charger GT RWD, $24,000, Excellent Price, 50,641 miles, 
Used 2023 Dodge, Challenger GT AWD, $28,500, Great Price, 37,608 miles, 
Used 2023 Dodge, Durango SXT Launch Edition AWD, $29,997, Fair Price, 28,659 miles, 
Used 2023 Dodge, Durango GT Plus AWD, $30,500, Fair Price, 46,708 miles, 
Used 2023 Dodge, Challenger SXT RWD, $23,990, Great Price, 45,501 miles, 
Used 2023 Dodge, Challenger R/T RWD, $39,500, Fair Price, 3,027 miles, 
Used 2023 Dodge, Charger GT AWD, $35,977, Great Price, 8,853 miles, 
Used 2023 Dodge, Charger SRT Hellcat Widebody Jailbreak RWD, $77,999, Great Price, 1,575 miles, 
Used 2023 Dodge, Durango GT AWD, $26,500, Excellent Price, 41,442 miles, 
Used 2023 Dodge, Durango R/T Plus AWD, $40,998, Great Price, 31,215 miles, 
Used 2023 Dodge, Charger SXT AWD, $34,995, Fair Price, 6,830 miles, 
Used 2023 Dodge, Challenger R/T Scat Pack RWD, $47,977, Great Price, 1,474 miles, 
Used 2023 Dodge, Challenger SXT RWD, $29,991, High Price, 5,440 miles, 
Used 2023 Dodge, Durango Hemi Orange AWD, $43,499, Fair Price, 19,336 miles, 
Used 2023 Dodge, Challenger SRT Hellcat Jailbreak RWD, $75,990, Fair Price, 1,939 miles, 
Used 2023 Dodge, Charger Scat Pack RWD, $49,990, Great Price, 5,860 miles, 
Used 2023 Dodge, Durango GT Launch Edition AWD, $32,915, Great Price, 29,959 miles, 
Used 2023 Dodge, Challenger R/T RWD, $37,990, Great Price, 5,054 miles, 
Used 2023 Dodge, Durango GT Premium AWD, $29,723, Fair Price, 58,628 miles, 
Used 2023 Dodge, Charger Scat Pack RWD, $49,990, Great Price, 12,163 miles, 
Used 2023 Dodge, Charger GT AWD, $27,700, Fair Price, 59,408 miles, 
Used 2023 Dodge, Charger R/T RWD, $44,900, High Price, 3,176 miles, 
Used 2023 Dodge, Durango SRT 392 Premium AWD, $51,400, Great Price, 45,507 miles, 
Used 2023 Dodge, Charger GT AWD, $40,986, High Price, 6,175 miles, 
Used 2023 Dodge, Challenger R/T RWD, $49,933, High Price, 47 miles, 
Used 2023 Dodge, Challenger R/T Scat Pack RWD, $51,919, High Price, 2,421 miles, 
Used 2023 Dodge, Charger Scat Pack Widebody RWD, $58,000, High Price, 8,080 miles, 
Used 2023 Dodge, Charger SRT Hellcat Redeye Widebody RWD, $99,599, Fair Price, 3,661 miles, 
Used 2023 Dodge, Charger Scat Pack RWD, $51,999, Great Price, 5,324 miles, 
Used 2023 Dodge, Challenger SRT Hellcat Redeye Jailbreak RWD *Ltd Avail*, $99,599, High Price, 42 miles, 
Used 2023 Dodge, Challenger GT RWD, $23,000, Great Price, 57,399 miles, 
Used 2023 Dodge, Charger SRT Hellcat Redeye Widebody RWD, $144,990, High Price, 45 miles, 
Used 2023 Dodge, Challenger SRT Hellcat Redeye Widebody RWD, $169,000, High Price, 9 miles, 
Used 2023 Dodge, Durango GT Plus AWD, $36,917, High Price, 19,219 miles, 
