Used 2020 Mazda, CX-5 Touring AWD, $21,500, Excellent Price, 15,230 miles, 
Used 2020 Mazda, CX-5 Grand Touring AWD, $23,588, Great Price, 16,054 miles, 
Used 2020 Mazda, CX-5 Touring FWD, $17,499, Great Price, 50,824 miles, 
Used 2020 Mazda, Mazda6 Sport Automatic, $13,995, Excellent Price, 88,143 miles, 
Used 2020 Mazda, CX-5 Grand Touring AWD, $16,888, Excellent Price, 60,963 miles, 
Used 2020 Mazda, CX-30 AWD, $17,500, Excellent Price, 52,139 miles, 
Used 2020 Mazda, CX-5 Grand Touring AWD, $20,646, Excellent Price, 57,674 miles, 
Used 2020 Mazda, CX-30 Premium Package AWD, $17,995, Excellent Price, 55,470 miles, 
Used 2020 Mazda, CX-9 Grand Touring AWD, $25,994, Excellent Price, 26,524 miles, 
Used 2020 Mazda, CX-5 Grand Touring Reserve AWD, $24,299, Excellent Price, 40,638 miles, 
Used 2020 Mazda, CX-5 Touring FWD, $16,499, Great Price, 86,788 miles, 
Used 2020 Mazda, CX-30 Preferred Package AWD, $21,487, Great Price, 41,051 miles, 
Used 2020 Mazda, CX-5 Grand Touring AWD, $23,495, Fair Price, 30,525 miles, 
Used 2020 Mazda, CX-5 Touring AWD, $20,944, Fair Price, 55,550 miles, 
Used 2020 Mazda, CX-9 Grand Touring AWD, $27,499, Fair Price, 30,245 miles, 
Used 2020 Mazda, Mazda3 Premium 4-Door AWD Automatic, $19,990, Great Price, 59,823 miles, 
Used 2020 Mazda, CX-5 Grand Touring AWD, $24,787, Fair Price, 44,635 miles, 
Used 2020 Mazda, CX-5 Grand Touring AWD, $18,990, Great Price, 56,201 miles, 
Used 2020 Mazda, Mazda3 Preferred 5-Door AWD Automatic, $18,759, Fair Price, 65,342 miles, 
Used 2020 Mazda, CX-9 Grand Touring AWD, $23,100, Fair Price, 59,533 miles, 
Used 2020 Mazda, CX-5 Sport AWD, $20,953, Fair Price, 54,766 miles, 
Used 2020 Mazda, CX-5 Grand Touring Reserve AWD, $21,499, Fair Price, 61,824 miles, 
Used 2020 Mazda, Mazda3 Preferred 5-Door FWD Automatic, $20,998, Fair Price, 57,321 miles, 
Used 2020 Mazda, Mazda3 Preferred 4-Door AWD Automatic, $20,998, High Price, 24,720 miles, 
Used 2020 Mazda, CX-5 Grand Touring AWD, $21,899, High Price, 58,993 miles, 
Used 2020 Mazda, CX-5 Touring AWD, $18,000, Great Price, 88,604 miles, 
Used 2020 Mazda, CX-5 Touring AWD, $14,995, Great Price, 93,255 miles, 
Used 2020 Mazda, CX-5 Grand Touring AWD, $22,759, High Price, 58,025 miles, 
Used 2020 Mazda, CX-30 Premium Package AWD, $19,995, Fair Price, 67,362 miles, 
Used 2020 Mazda, CX-5 Touring AWD, $16,500, Fair Price, 110,721 miles, 
Used 2020 Mazda, Mazda3 Select 4-Door FWD Automatic, $20,998, High Price, 45,286 miles, 
Used 2020 Mazda, CX-5 Touring AWD, $16,286, Fair Price, 93,167 miles, 
Used 2020 Mazda, CX-5 Grand Touring AWD, $21,495, Fair Price, 40,003 miles, 
Used 2020 Mazda, CX-9 Touring AWD, $25,888, High Price, 45,201 miles, 
Used 2020 Mazda, CX-5 Touring AWD, $14,995, Great Price, 93,255 miles, 
Used 2020 Mazda, CX-30 Premium Package AWD, $19,995, Fair Price, 67,362 miles, 
Used 2020 Mazda, CX-30 Premium Package AWD, $19,272, Great Price, 73,683 miles, 
Used 2020 Mazda, Mazda3 Preferred 4-Door AWD Automatic, $21,983, High Price, 25,635 miles, 
Used 2020 Mazda, CX-5 Touring AWD, $21,500, Fair Price, 47,045 miles, 
Used 2020 Mazda, CX-5 Touring AWD, $20,999, Fair Price, 50,449 miles, 
Used 2020 Mazda, CX-5 Grand Touring AWD, $22,544, Great Price, 48,163 miles, 
Used 2020 Mazda, MX-5 Miata Sport Manual, $19,800, Excellent Price, 41,708 miles, 
Used 2020 Mazda, Mazda3 Select 4-Door FWD Automatic, $17,700, High Price, 39,378 miles, 
Used 2020 Mazda, Mazda3 Select 4-Door FWD Automatic, $17,290, High Price, 53,970 miles, 
Used 2020 Mazda, Mazda3 Select 4-Door FWD Automatic, $15,995, Fair Price, 71,136 miles, 
Used 2020 Mazda, Mazda3 Preferred 4-Door AWD Automatic, $18,995, High Price, 66,658 miles, 
Used 2020 Mazda, CX-30 Preferred Package AWD, $21,500, Fair Price, 39,664 miles, 
Used 2020 Mazda, MX-5 Miata Club Manual, $25,831, Fair Price, 30,044 miles, 
Used 2020 Mazda, Mazda3 Base 5-Door FWD, $21,495, High Price, 44,473 miles, 
Used 2020 Mazda, CX-9 Signature AWD, $26,495, Fair Price, 18,780 miles, 
Used 2020 Mazda, Mazda3 Select 4-Door FWD Automatic, $19,166, High Price, 50,837 miles, 
Used 2020 Mazda, CX-9 Touring AWD, $20,995, High Price, 40,337 miles, 
Used 2020 Mazda, CX-30 Premium Package AWD, $20,800, High Price, 82,532 miles, 
Used 2020 Mazda, CX-5 Touring AWD, $23,041, Fair Price, 23,550 miles, 
