Used 2024 Genesis, GV80 3.5T, $63,898, Fair Price, 4,198 miles, 
Used 2024 Genesis, GV80 3.5T, $67,883, High Price, 4,000 miles, 
Used 2024 Genesis, GV80 2.5T, $40,498, Great Price, 28,080 miles, 
Used 2024 Genesis, GV70 2.5T, $38,998, High Price, 15,275 miles, 
Used 2024 Genesis, G70 3.3T Sport Advanced AWD, $43,990, Great Price, 1,289 miles, 
Used 2024 Genesis, GV70 3.5T Sport, $46,609, Great Price, 11,841 miles, 
Used 2024 Genesis, GV70 2.5T, $42,990, High Price, 16,320 miles, 
Used 2024 Genesis, GV80 2.5T, $45,795, Great Price, 4,092 miles, 
Used 2024 Genesis, G70 2.5T AWD, $27,587, Excellent Price, 6,059 miles, 
Used 2024 Genesis, GV80 3.5T, $49,650, Great Price, 18,735 miles, 
Used 2024 Genesis, G80 3.5T Sport AWD, $64,898, High Price, 4,695 miles, 
Used 2024 Genesis, GV80 3.5T, $57,499, Fair Price, 14,660 miles, 
Used 2024 Genesis, GV80 3.5T, $55,498, Great Price, 15,423 miles, 
Used 2024 Genesis, GV70 3.5T Sport, $50,095, Great Price, 5,653 miles, 
Used 2024 Genesis, G90 3.5T E-Supercharger, $74,987, Fair Price, 2,284 miles, 
Used 2024 Genesis, G90 3.5T E-Supercharger, $69,990, High Price, 10,235 miles, 
Used 2024 Genesis, GV80 3.5T, $57,988, Fair Price, 20,943 miles, 
Used 2024 Genesis, G70 3.3T Sport Advanced AWD, $40,998, Fair Price, 5,256 miles, 
Used 2024 Genesis, G70 2.5T AWD, $34,395, Fair Price, 34 miles, 
Used 2024 Genesis, G80 3.5T Sport AWD, $56,997, Fair Price, 8,785 miles, 
Used 2024 Genesis, GV60 Standard RWD, $34,918, High Price, 9,897 miles, 
Used 2024 Genesis, G70 2.5T AWD, $33,698, Fair Price, 1,285 miles, 
Used 2024 Genesis, GV80 3.5T, $52,888, High Price, 6,749 miles, 
Used 2024 Genesis, GV70 2.5T, $44,997, Fair Price, 21,564 miles, 
Used 2024 Genesis, G70 2.5T AWD, $34,595, High Price, 56 miles, 
Used 2024 Genesis, GV80 3.5T, $51,495, High Price, 4,090 miles, 
Used 2024 Genesis, GV80 3.5T, $46,799, Fair Price, 26,412 miles, 
Used 2024 Genesis, GV80 2.5T, $42,995, High Price, 28,347 miles, 
Used 2024 Genesis, G90 3.5T E-Supercharger, $75,803, Fair Price, 987 miles, 
Used 2024 Genesis, GV80 3.5T, $58,995, Fair Price, 8,195 miles, 
Used 2024 Genesis, Electrified GV70 Advanced, $38,495, High Price, 5,381 miles, 
Used 2024 Genesis, G80 3.5T Sport AWD, $55,995, High Price, 12,724 miles, 
Used 2024 Genesis, G70 3.3T Sport Advanced AWD, $42,865, Fair Price, 3,482 miles, 
Used 2024 Genesis, GV70 3.5T Sport, $49,839, High Price, 7,140 miles, 
Used 2024 Genesis, G70 2.5T AWD, $34,995, Fair Price, 15,257 miles, 
Used 2024 Genesis, GV80 3.5T, $52,888, High Price, 12,497 miles, 
Used 2024 Genesis, GV70 2.5T, $44,998, Fair Price, 26,922 miles, 
Used 2024 Genesis, GV70 3.5T Sport, $52,999, Fair Price, 12,500 miles, 
Used 2024 Genesis, G70 2.5T AWD, $35,998, Fair Price, 9,359 miles, 
Used 2024 Genesis, G70 2.5T AWD, $39,899, High Price, 2,551 miles, 
Used 2024 Genesis, G80 3.5T Sport AWD, $58,997, High Price, 9,019 miles, 
Used 2024 Genesis, GV70 3.5T Sport, $55,200, High Price, 9,680 miles, 
Used 2024 Genesis, G70 2.5T AWD, $36,998, High Price, 7,682 miles, 
Used 2024 Genesis, G90 3.5T E-Supercharger, $79,998, High Price, 5,845 miles, 
Used 2024 Genesis, GV70 3.5T Sport, $52,495, Fair Price, 6,609 miles, 
Used 2024 Genesis, G80 2.5T AWD, $48,684, High Price, 4,446 miles, 
Used 2024 Genesis, GV70 3.5T Sport, $54,400, High Price, 14,765 miles, 
Used 2024 Genesis, G70 3.3T Sport Advanced AWD, $49,995, High Price, 5,744 miles, 
Used 2024 Genesis, G70 3.3T Sport Advanced AWD, $41,595, High Price, 5,330 miles, 
Used 2024 Genesis, G80 3.5T Sport AWD, $60,200, High Price, 1,881 miles, 
Used 2024 Genesis, GV70 2.5T, $42,500, High Price, 26,304 miles, 
Used 2024 Genesis, G80 2.5T AWD, $42,000, High Price, 15,950 miles, 
Used 2024 Genesis, GV80 3.5T, $47,911, Great Price, 35,690 miles, 
Used 2024 Genesis, GV70 2.5T, $42,911, High Price, 19,048 miles, 
