Used 2022 Kia, Carnival SX Prestige, $36,207, Excellent Price, 38,890 miles, 
Used 2022 Kia, K5 GT-Line AWD, $26,998, Great Price, 16,707 miles, 
Used 2022 Kia, Niro Hybrid LXS, $11,997, Excellent Price, 101,017 miles, 
Used 2022 Kia, EV6 GT-Line RWD, $19,999, Great Price, 40,910 miles, 
Used 2022 Kia, EV6 Wind AWD, $19,299, Great Price, 40,117 miles, 
Used 2022 Kia, Telluride SX AWD, $36,993, Great Price, 31,911 miles, 
Used 2022 Kia, Telluride S AWD, $21,590, Excellent Price, 82,625 miles, 
Used 2022 Kia, Sorento X-Line S AWD, $29,357, Great Price, 25,710 miles, 
Used 2022 Kia, Niro EV EX, $20,439, Great Price, 23,043 miles, 
Used 2022 Kia, Telluride SX FWD, $33,855, Great Price, 43,099 miles, 
Used 2022 Kia, Carnival LX, $20,274, Excellent Price, 113,345 miles, 
Used 2022 Kia, Sorento Hybrid S AWD, $19,999, Excellent Price, 113,429 miles, 
Used 2022 Kia, Forte LXS IVT, $12,987, Excellent Price, 107,795 miles, 
Used 2022 Kia, Soul LX IVT, $15,990, Great Price, 36,247 miles, 
Used 2022 Kia, Soul LX IVT, $16,975, Great Price, 27,772 miles, 
Used 2022 Kia, Sorento X-Line SX Prestige AWD, $27,880, Great Price, 53,231 miles, 
Used 2022 Kia, Sorento X-Line S AWD, $27,999, Excellent Price, 22,295 miles, 
Used 2022 Kia, Sportage Nightfall AWD, $21,998, Great Price, 50,730 miles, 
Used 2022 Kia, Sportage Nightfall AWD, $23,451, Great Price, 38,927 miles, 
Used 2022 Kia, Soul Turbo DCT, $17,514, Excellent Price, 29,416 miles, 
Used 2022 Kia, Forte GT-Line IVT, $20,998, Great Price, 38,099 miles, 
Used 2022 Kia, EV6 Light RWD, $13,998, Excellent Price, 96,000 miles, 
Used 2022 Kia, K5 GT-Line FWD, $22,860, Great Price, 38,257 miles, 
Used 2022 Kia, Sorento X-Line S AWD, $19,999, Fair Price, 71,781 miles, 
Used 2022 Kia, Forte GT-Line IVT, $19,163, Great Price, 33,479 miles, 
Used 2022 Kia, Sorento SX AWD, $31,490, Fair Price, 21,893 miles, 
Used 2022 Kia, Niro Hybrid LXS, $12,499, Excellent Price, 121,552 miles, 
Used 2022 Kia, Forte LXS IVT, $12,987, Excellent Price, 107,795 miles, 
Used 2022 Kia, Forte GT-Line IVT, $19,500, Great Price, 33,937 miles, 
Used 2022 Kia, K5 GT FWD DCT, $24,097, Great Price, 41,440 miles, 
Used 2022 Kia, Telluride EX AWD, $34,999, Great Price, 24,259 miles, 
Used 2022 Kia, K5 LXS FWD, $20,270, Great Price, 23,314 miles, 
Used 2022 Kia, Sorento LX AWD, $23,455, Great Price, 38,645 miles, 
Used 2022 Kia, Forte GT DCT, $15,960, Excellent Price, 30,803 miles, 
Used 2022 Kia, Telluride S AWD, $24,499, Fair Price, 98,463 miles, 
Used 2022 Kia, Forte GT-Line IVT, $18,888, Great Price, 9,880 miles, 
Used 2022 Kia, Sorento SX AWD, $29,995, Great Price, 32,156 miles, 
Used 2022 Kia, Forte GT-Line IVT, $18,000, Great Price, 22,730 miles, 
Used 2022 Kia, Sorento LX FWD, $19,686, Great Price, 61,127 miles, 
Used 2022 Kia, Sorento LX AWD, $26,559, Great Price, 6,393 miles, 
Used 2022 Kia, Forte GT-Line IVT, $19,600, Great Price, 12,524 miles, 
Used 2022 Kia, Forte GT-Line IVT, $16,999, Great Price, 44,152 miles, 
Used 2022 Kia, Sportage LX AWD, $19,998, Great Price, 29,575 miles, 
Used 2022 Kia, Forte LXS IVT, $18,199, Fair Price, 23,925 miles, 
Used 2022 Kia, K5 GT-Line FWD, $21,150, Excellent Price, 24,105 miles, 
Used 2022 Kia, Sportage LX FWD, $14,999, Excellent Price, 48,740 miles, 
Used 2022 Kia, Soul LX IVT, $13,050, Excellent Price, 77,954 miles, 
Used 2022 Kia, Sorento Hybrid S AWD, $25,841, Great Price, 40,556 miles, 
Used 2022 Kia, Sportage Nightfall AWD, $18,495, Great Price, 61,571 miles, 
Used 2022 Kia, Telluride EX AWD, $33,990, Great Price, 45,451 miles, 
Used 2022 Kia, Sorento X-Line EX AWD, $28,899, Great Price, 27,477 miles, 
Used 2022 Kia, Sorento S FWD, $24,688, Great Price, 43,727 miles, 
Used 2022 Kia, Sorento SX AWD, $31,764, Great Price, 11,090 miles, 
Used 2022 Kia, Sorento Hybrid S AWD, $23,898, Excellent Price, 33,747 miles, 
Used 2022 Kia, Sorento Hybrid S AWD, $27,459, Great Price, 42,080 miles, 
Used 2022 Kia, K5 GT-Line FWD, $23,399, Great Price, 29,603 miles, 
Used 2022 Kia, Telluride SX AWD, $32,350, Excellent Price, 43,815 miles, 
Used 2022 Kia, EV6 Wind AWD, $23,788, Great Price, 52,073 miles, 
Used 2022 Kia, Forte GT-Line IVT, $19,600, Great Price, 12,524 miles, 
Used 2022 Kia, Forte GT-Line IVT, $19,775, High Price, 47,374 miles, 
