Used 2018 Buick, Encore Preferred AWD, $9,293, Excellent Price, 104,057 miles, 
Used 2018 Buick, Encore Preferred AWD, $10,997, Excellent Price, 84,291 miles, 
Used 2018 Buick, Encore Sport Touring AWD, $12,991, Excellent Price, 59,501 miles, 
Used 2018 Buick, Cascada Sport Touring, $19,690, Excellent Price, 35,190 miles, 
Used 2018 Buick, Encore Preferred AWD, $9,293, Excellent Price, 104,057 miles, 
Used 2018 Buick, Encore Preferred AWD, $9,995, Great Price, 117,257 miles, 
Used 2018 Buick, Envision Premium II AWD, $22,427, Great Price, 48,663 miles, 
Used 2018 Buick, Encore Preferred AWD, $10,996, Excellent Price, 94,242 miles, 
Used 2018 Buick, Encore Sport Touring AWD, $8,991, Great Price, 133,758 miles, 
