Used 2024 Hyundai, Tucson Plug-In Hybrid Limited AWD, $38,417, Fair Price, 6,267 miles, 
Used 2024 Hyundai, Palisade Limited AWD, $38,460, Fair Price, 32,800 miles, 
Used 2024 Hyundai, Sonata SEL FWD, $22,900, Fair Price, 54,545 miles, 
Used 2024 Hyundai, Santa Cruz SE AWD, $26,900, High Price, 17,317 miles, 
Used 2024 Hyundai, Santa Cruz SEL AWD, $28,736, Fair Price, 14,990 miles, 
Used 2024 Hyundai, Elantra SEL IVT, $20,991, Fair Price, 24,233 miles, 
Used 2024 Hyundai, Tucson SEL AWD Limited Availability, $22,753, High Price, 61,548 miles, 
Used 2024 Hyundai, Tucson Hybrid Limited AWD, $34,991, Fair Price, 16,331 miles, 
Used 2024 Hyundai, Santa Cruz SEL AWD, $28,490, Fair Price, 20,545 miles, 
Used 2024 Hyundai, IONIQ 6 SEL AWD, $33,000, High Price, 4,792 miles, 
Used 2024 Hyundai, Santa Fe Limited AWD, $40,795, Fair Price, 4,404 miles, 
Used 2024 Hyundai, Palisade SEL AWD, $34,990, Fair Price, 38,736 miles, 
Used 2024 Hyundai, Tucson Plug-In Hybrid SEL AWD, $27,906, Fair Price, 26,900 miles, 
Used 2024 Hyundai, Venue Limited IVT, $21,390, Fair Price, 4,491 miles, 
Used 2024 Hyundai, Kona SEL AWD, $22,998, Great Price, 6,044 miles, 
Used 2024 Hyundai, Tucson Hybrid Limited AWD, $34,111, High Price, 21,373 miles, 
Used 2024 Hyundai, Palisade Calligraphy Night Edition AWD, $43,741, Fair Price, 20,625 miles, 
Used 2024 Hyundai, Venue SEL IVT, $20,890, High Price, 5,301 miles, 
Used 2024 Hyundai, Tucson SEL AWD Limited Availability, $25,990, Fair Price, 29,705 miles, 
Used 2024 Hyundai, Santa Cruz SEL AWD, $29,395, Fair Price, 16,481 miles, 
Used 2024 Hyundai, Santa Fe Limited AWD, $40,795, Fair Price, 4,935 miles, 
Used 2024 Hyundai, Tucson Plug-In Hybrid Limited AWD, $41,795, High Price, 3,279 miles, 
