Used 2021 Kia, Soul LX IVT, $13,677, Fair Price, 60,678 miles, 
Used 2021 Kia, Telluride EX AWD, $27,990, Great Price, 48,098 miles, 
Used 2021 Kia, Seltos EX 2.0 AWD, $20,491, Fair Price, 41,268 miles, 
Used 2021 Kia, Forte GT-Line IVT, $15,998, Great Price, 74,534 miles, 
Used 2021 Kia, Telluride S AWD, $29,891, Great Price, 28,607 miles, 
Used 2021 Kia, K5 LX FWD, $17,995, Fair Price, 76,175 miles, 
Used 2021 Kia, K5 GT-Line FWD, $23,835, Fair Price, 32,048 miles, 
Used 2021 Kia, Telluride SX AWD, $25,979, Fair Price, 105,528 miles, 
Used 2021 Kia, Sportage S AWD, $22,581, Fair Price, 28,782 miles, 
Used 2021 Kia, Forte LXS IVT, $14,710, Fair Price, 66,157 miles, 
Used 2021 Kia, Seltos LX 2.0 AWD, $20,998, High Price, 20,245 miles, 
Used 2021 Kia, Sorento Hybrid S FWD, $20,995, Fair Price, 66,816 miles, 
Used 2021 Kia, Sorento S AWD, $25,491, Great Price, 38,521 miles, 
Used 2021 Kia, Sorento LX AWD, $21,595, High Price, 53,644 miles, 
Used 2021 Kia, K5 GT-Line FWD, $25,998, High Price, 46,740 miles, 
Used 2021 Kia, Sportage LX FWD, $18,000, Great Price, 37,556 miles, 
Used 2021 Kia, Telluride LX AWD, $26,995, Fair Price, 36,239 miles, 
Used 2021 Kia, Seltos S 2.0 AWD, $14,900, Excellent Price, 90,222 miles, 
Used 2021 Kia, Sorento S AWD, $25,998, High Price, 59,163 miles, 
Used 2021 Kia, Soul LX IVT, $11,081, Fair Price, 108,751 miles, 
Used 2021 Kia, Forte GT-Line IVT, $19,998, High Price, 26,326 miles, 
Used 2021 Kia, Telluride SX AWD, $35,594, Great Price, 26,163 miles, 
Used 2021 Kia, Sportage S AWD, $17,895, Excellent Price, 26,405 miles, 
Used 2021 Kia, Soul LX IVT, $16,490, Fair Price, 38,611 miles, 
Used 2021 Kia, Seltos LX 2.0 AWD, $15,495, Fair Price, 48,795 miles, 
Used 2021 Kia, K5 GT-Line AWD, $16,526, Great Price, 93,505 miles, 
Used 2021 Kia, K5 GT-Line AWD, $18,758, Excellent Price, 46,104 miles, 
Used 2021 Kia, Seltos S 2.0 FWD, $10,499, Excellent Price, 115,418 miles, 
Used 2021 Kia, Sportage LX AWD, $14,995, Excellent Price, 35,440 miles, 
Used 2021 Kia, Forte LXS IVT, $13,590, Great Price, 83,435 miles, 
Used 2021 Kia, Sportage S FWD, $20,398, Fair Price, 45,338 miles, 
Used 2021 Kia, Sorento S AWD, $23,996, High Price, 71,396 miles, 
Used 2021 Kia, Telluride S FWD, $24,400, High Price, 82,013 miles, 
Used 2021 Kia, Sorento S FWD, $19,785, Fair Price, 75,243 miles, 
Used 2021 Kia, Sorento SX AWD, $25,872, High Price, 59,668 miles, 
Used 2021 Kia, Seltos EX 2.0 AWD, $14,401, High Price, 109,435 miles, 
Used 2021 Kia, K5 EX FWD, $22,715, Fair Price, 21,518 miles, 
Used 2021 Kia, Seltos S 2.0 FWD, $12,999, Fair Price, 86,604 miles, 
Used 2021 Kia, Seltos S 2.0 AWD, $15,000, Excellent Price, 92,690 miles, 
Used 2021 Kia, Sportage LX AWD, $19,855, High Price, 37,881 miles, 
Used 2021 Kia, K5 LX FWD, $14,995, Great Price, 72,705 miles, 
Used 2021 Kia, K5 LXS FWD, $16,298, Fair Price, 58,642 miles, 
Used 2021 Kia, Seltos EX 2.0 AWD, $15,295, Excellent Price, 71,069 miles, 
Used 2021 Kia, Sportage LX AWD, $14,995, Excellent Price, 57,352 miles, 
Used 2021 Kia, Sportage S AWD, $19,449, Fair Price, 32,108 miles, 
Used 2021 Kia, Seltos S 2.0 AWD, $12,499, Fair Price, 124,503 miles, 
Used 2021 Kia, K5 LX FWD, $14,995, Great Price, 72,705 miles, 
Used 2021 Kia, Sorento EX AWD, $23,959, High Price, 74,012 miles, 
Used 2021 Kia, K5 LXS FWD, $16,298, Fair Price, 58,642 miles, 
Used 2021 Kia, Soul S IVT, $12,500, High Price, 94,887 miles, 
Used 2021 Kia, Seltos S 2.0 AWD, $12,499, Fair Price, 124,503 miles, 
Used 2021 Kia, Sportage LX AWD, $14,995, Excellent Price, 57,352 miles, 
Used 2021 Kia, Soul S IVT, $14,528, Great Price, 44,256 miles, 
Used 2021 Kia, Sportage S AWD, $19,449, Fair Price, 32,108 miles, 
Used 2021 Kia, Forte GT-Line IVT, $16,998, Fair Price, 66,262 miles, 
Used 2021 Kia, K5 GT-Line FWD, $18,999, Fair Price, 81,510 miles, 
Used 2021 Kia, K5 GT-Line FWD, $21,695, High Price, 17,110 miles, 
Used 2021 Kia, Sorento SX Prestige X-Line AWD, $24,989, Fair Price, 59,555 miles, 
Used 2021 Kia, Seltos LX 2.0 AWD, $16,390, High Price, 50,701 miles, 
Used 2021 Kia, Sportage LX AWD, $18,695, High Price, 30,309 miles, 
Used 2021 Kia, Soul S IVT, $17,990, High Price, 34,623 miles, 
Used 2021 Kia, Seltos LX 2.0 AWD, $12,650, Excellent Price, 64,451 miles, 
Used 2021 Kia, Sportage LX AWD, $21,995, High Price, 6,245 miles, 
Used 2021 Kia, Telluride EX AWD, $26,500, Fair Price, 83,320 miles, 
Used 2021 Kia, Sorento S AWD, $21,998, High Price, 97,091 miles, 
Used 2021 Kia, K5 GT-Line AWD, $22,998, Great Price, 54,987 miles, 
Used 2021 Kia, Telluride EX FWD, $22,998, Fair Price, 114,487 miles, 
Used 2021 Kia, Sorento S FWD, $24,900, Fair Price, 27,409 miles, 
Used 2021 Kia, Sportage S FWD, $16,595, Great Price, 63,603 miles, 
Used 2021 Kia, Forte LXS IVT, $13,995, Fair Price, 86,152 miles, 
Used 2021 Kia, Seltos LX 2.0 AWD, $13,700, High Price, 118,959 miles, 
Used 2021 Kia, Sorento EX AWD, $24,998, Great Price, 52,758 miles, 
Used 2021 Kia, Sportage EX FWD, $22,998, High Price, 21,688 miles, 
Used 2021 Kia, Telluride EX AWD, $26,995, Excellent Price, 71,493 miles, 
Used 2021 Kia, Seltos S 2.0 AWD, $16,500, High Price, 83,293 miles, 
Used 2021 Kia, Telluride EX AWD, $22,995, Fair Price, 84,868 miles, 
Used 2021 Kia, K5 LXS FWD, $16,250, Fair Price, 63,465 miles, 
Used 2021 Kia, K5 EX FWD, $19,995, High Price, 45,521 miles, 
Used 2021 Kia, Soul LX IVT, $17,059, High Price, 55,594 miles, 
Used 2021 Kia, Soul LX IVT, $14,847, Fair Price, 53,348 miles, 
Used 2021 Kia, Seltos SX 1.6T AWD, $18,980, High Price, 45,944 miles, 
Used 2021 Kia, Soul EX IVT, $19,999, High Price, 31,907 miles, 
Used 2021 Kia, Telluride EX AWD, $33,555, High Price, 14,940 miles, 
Used 2021 Kia, K5 EX FWD, $16,985, Fair Price, 86,905 miles, 
Used 2021 Kia, Sportage LX AWD, $15,799, High Price, 67,857 miles, 
Used 2021 Kia, K5 GT-Line FWD, $15,499, High Price, 124,779 miles, 
Used 2021 Kia, Forte GT DCT, $18,995, Fair Price, 52,142 miles, 
Used 2021 Kia, Forte GT-Line IVT, $21,495, High Price, 19,907 miles, 
Used 2021 Kia, Forte LXS IVT, $21,499, High Price, 41,086 miles, 
Used 2021 Kia, Telluride S FWD, $22,743, High Price, 70,263 miles, 
Used 2021 Kia, Forte GT-Line IVT, $21,745, High Price, 38,534 miles, 
Used 2021 Kia, Sportage EX AWD, $19,417, Fair Price, 57,549 miles, 
Used 2021 Kia, K5 LXS FWD, $15,900, High Price, 70,263 miles, 
Used 2021 Kia, Forte GT DCT, $18,288, High Price, 56,801 miles, 
Used 2021 Kia, Soul S IVT, $11,499, High Price, 95,120 miles, 
Used 2021 Kia, K5 GT-Line FWD, $17,995, Fair Price, 71,626 miles, 
Used 2021 Kia, K5 GT-Line AWD, $19,912, High Price, 103,672 miles, 
Used 2021 Kia, Sorento S AWD, $25,000, High Price, 39,958 miles, 
Used 2021 Kia, Seltos S 2.0 AWD, $13,499, High Price, 100,317 miles, 
Used 2021 Kia, Forte LXS IVT, $11,999, High Price, 105,565 miles, 
Used 2021 Kia, Soul S IVT, $19,900, High Price, 70,245 miles, 
Used 2021 Kia, Telluride EX AWD, $28,420, High Price, 41,182 miles, 
