Used 2023 Subaru, Crosstrek 2.5i Limited CVT, $28,995, Fair Price, 15,138 miles, 
Used 2023 Subaru, Outback Premium, $23,990, Great Price, 62,297 miles, 
Used 2023 Subaru, Crosstrek 2.5i Sport CVT, $24,200, Great Price, 30,127 miles, 
Used 2023 Subaru, Forester Wilderness, $28,334, Great Price, 40,686 miles, 
Used 2023 Subaru, WRX Manual, $25,995, Fair Price, 32,220 miles, 
Used 2023 Subaru, Forester Wilderness, $29,500, Great Price, 30,424 miles, 
Used 2023 Subaru, Forester Wilderness, $32,940, Fair Price, 24,362 miles, 
Used 2023 Subaru, Forester Touring, $32,779, Great Price, 6,676 miles, 
Used 2023 Subaru, Ascent Onyx Edition Limited 7-Passenger, $36,526, Great Price, 36,074 miles, 
Used 2023 Subaru, Forester Wilderness, $32,940, Fair Price, 24,362 miles, 
Used 2023 Subaru, Ascent Limited 8-Passenger, $34,799, Fair Price, 25,874 miles, 
Used 2023 Subaru, Outback Onyx Edition, $29,059, Fair Price, 28,502 miles, 
Used 2023 Subaru, Crosstrek 2.5i Limited CVT, $28,617, Fair Price, 18,816 miles, 
Used 2023 Subaru, Outback Premium, $28,899, Fair Price, 16,753 miles, 
Used 2023 Subaru, Outback Wilderness, $30,500, Fair Price, 31,347 miles, 
Used 2023 Subaru, Forester Sport, $30,673, Fair Price, 21,313 miles, 
Used 2023 Subaru, Crosstrek 2.5i Limited CVT, $31,995, High Price, 19,720 miles, 
Used 2023 Subaru, Outback Limited, $29,720, Fair Price, 39,702 miles, 
Used 2023 Subaru, Crosstrek 2.0i Premium CVT, $22,964, Fair Price, 80,564 miles, 
Used 2023 Subaru, Outback Onyx Edition, $28,140, High Price, 58,999 miles, 
Used 2023 Subaru, Crosstrek 2.0i Premium CVT, $23,782, High Price, 46,690 miles, 
Used 2023 Subaru, Solterra Limited, $36,632, High Price, 4,365 miles, 
Used 2023 Subaru, WRX Manual, $28,995, High Price, 14,601 miles, 
