Year/Make, Model, Price, Rating, Mileage
Used 2021 Audi, A4 Premium 40 TFSI quattro, 22995, Excellent Price, 44045, 
Used 2021 Audi, Q7 Premium Plus 3.0, 26000, Excellent Price, 90533, 
Used 2021 Audi, e-tron Premium SUV, 21606, Excellent Price, 32808, 
Used 2021 Audi, Q5 Plug-In Hybrid e Premium Plus SUV, 26839, Fair Price, 42353, 
Used 2021 Audi, RS 5 Sportback, 52631, Great Price, 40965, 
Used 2021 Audi, TT RS Coupe, 69800, Fair Price, 9444, 
Used 2021 Audi, e-tron Premium SUV, 21295, Excellent Price, 18539, 
Used 2021 Audi, S5 Premium Plus Sportback, 31900, Excellent Price, 77207, 
Used 2021 Audi, TT RS Coupe, 63888, Fair Price, 40420, 
Used 2021 Audi, A8 L 55 TFSI quattro, 45997, Fair Price, 42376, 
Used 2021 Audi, Q7 Premium 3.0, 28431, Excellent Price, 31729, 
Used 2021 Audi, Q3 S line Premium, 24700, Great Price, 36627, 
Used 2021 Audi, A6 Premium Plus 3.0, 29897, Great Price, 37697, 
Used 2021 Audi, Q5 Prestige SUV, 29888, Fair Price, 35567, 
Used 2021 Audi, Q5 Premium Plus Sportback, 27495, Great Price, 33481, 
Used 2021 Audi, e-tron Premium Plus Sportback, 35998, High Price, 24919, 
Used 2021 Audi, A7 Premium Plus 3.0, 41995, Excellent Price, 25208, 
Used 2021 Audi, A4 Premium 40 TFSI quattro, 20700, Fair Price, 25819, 
Used 2021 Audi, Q5 Premium Plus SUV, 29777, High Price, 48986, 
Used 2021 Audi, A6 Premium Plus 2.0, 27728, Great Price, 50557, 
Used 2021 Audi, Q7 Premium 2.0, 29798, Fair Price, 53722, 
Used 2021 Audi, e-tron Premium SUV, 19038, Great Price, 59143, 
Used 2021 Audi, Q5 Premium SUV, 25999, High Price, 81427, 
Used 2021 Audi, Q5 Premium SUV, 23990, Fair Price, 56910, 
Used 2021 Audi, Q3 S line Premium, 26395, High Price, 44083, 
Used 2021 Audi, A8 L 55 TFSI quattro, 38500, Fair Price, 49937, 
Used 2021 Audi, RS 5 Sportback, 54591, High Price, 54646, 
Used 2021 Audi, A8 L 60 TFSI quattro, 39995, High Price, 32605, 
Used 2021 Audi, A6 Premium Plus 3.0, 31726, Fair Price, 37697, 
Used 2021 Audi, Q5 Premium SUV, 20448, Fair Price, 78572, 
Used 2021 Audi, Q7 Premium Plus 2.0, 33872, High Price, 32114, 
Used 2021 Audi, Q3 S line Premium, 15789, Great Price, 100728, 
Used 2021 Audi, A7 Premium Plus 3.0, 38998, High Price, 49750, 
Used 2021 Audi, Q5 Premium Plus SUV, 27900, Fair Price, 52035, 
Used 2021 Audi, Q8 Prestige, 44997, Fair Price, 53502, 
Used 2021 Audi, Q8 Premium, 38119, High Price, 36902, 
Used 2021 Audi, Q7 Premium 2.0, 29165, Great Price, 59593, 
Used 2021 Audi, Q5 Premium SUV, 19595, Excellent Price, 63835, 
Used 2021 Audi, RS 7 Sportback, 83422, Fair Price, 16705, 
Used 2021 Audi, RS 5 Sportback, 58999, Fair Price, 28585, 
Used 2021 Audi, S6 Prestige, 47999, High Price, 47601, 
Used 2021 Audi, S5 Premium Sportback, 37611, High Price, 18820, 
Used 2021 Audi, Q8 Premium, 43881, High Price, 38103, 
Used 2021 Audi, Q5 Premium Plus SUV, 25750, High Price, 32325, 
Used 2021 Audi, S4 Premium, 29995, High Price, 68730, 
Used 2021 Audi, Q3 S line Premium Plus, 27488, Fair Price, 25878, 
Used 2021 Audi, Q7 Prestige 3.0, 30810, Fair Price, 61321, 
