Used 2022 Subaru, Outback 2.5i Limited, $21,888, Excellent Price, 64,054 miles, 
Used 2022 Subaru, Crosstrek 2.0i Premium CVT, $22,800, Great Price, 41,586 miles, 
Used 2022 Subaru, WRX Premium Manual, $26,360, Excellent Price, 18,334 miles, 
Used 2022 Subaru, Outback 2.5i Premium, $21,957, Great Price, 57,007 miles, 
Used 2022 Subaru, Forester Wilderness, $27,940, Great Price, 33,627 miles, 
Used 2022 Subaru, Outback 2.5i Premium, $23,499, Great Price, 26,172 miles, 
Used 2022 Subaru, Forester Wilderness, $27,000, Excellent Price, 20,644 miles, 
Used 2022 Subaru, Outback 2.5i Limited, $26,990, Great Price, 14,263 miles, 
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, $25,957, Great Price, 20,188 miles, 
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, $25,395, Fair Price, 8,229 miles, 
Used 2022 Subaru, WRX GT CVT, $27,395, Excellent Price, 42,959 miles, 
Used 2022 Subaru, Impreza Premium 5-door CVT, $20,848, Excellent Price, 27,643 miles, 
Used 2022 Subaru, Crosstrek 2.0i CVT, $23,226, Great Price, 23,822 miles, 
Used 2022 Subaru, Outback 2.5i Premium, $17,999, Great Price, 101,262 miles, 
Used 2022 Subaru, Forester Touring, $25,795, Great Price, 27,907 miles, 
Used 2022 Subaru, Impreza Sedan CVT, $18,595, Great Price, 20,931 miles, 
Used 2022 Subaru, Crosstrek 2.5i Sport CVT, $23,499, Great Price, 25,078 miles, 
Used 2022 Subaru, Ascent Onyx Edition 7-Passenger, $25,000, Great Price, 63,569 miles, 
Used 2022 Subaru, Crosstrek 2.0i Premium CVT, $23,949, Great Price, 28,755 miles, 
Used 2022 Subaru, Crosstrek 2.5i Sport CVT, $24,287, Great Price, 25,839 miles, 
Used 2022 Subaru, Ascent Touring 7-Passenger, $29,998, Great Price, 50,696 miles, 
Used 2022 Subaru, Ascent Premium 8-Passenger, $29,998, Fair Price, 27,331 miles, 
Used 2022 Subaru, Impreza Sedan CVT, $18,199, Great Price, 23,105 miles, 
Used 2022 Subaru, WRX Premium Manual, $25,999, Great Price, 31,490 miles, 
Used 2022 Subaru, Outback 2.5i Premium, $23,334, Excellent Price, 30,435 miles, 
Used 2022 Subaru, Outback 2.4T Touring XT, $26,415, Excellent Price, 47,935 miles, 
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, $25,000, Excellent Price, 26,188 miles, 
Used 2022 Subaru, Forester Touring, $30,499, Great Price, 17,578 miles, 
Used 2022 Subaru, Outback 2.5i Limited, $25,695, Great Price, 46,904 miles, 
Used 2022 Subaru, Forester Wilderness, $28,269, Fair Price, 34,269 miles, 
Used 2022 Subaru, Outback 2.5i Premium, $25,910, Great Price, 23,720 miles, 
Used 2022 Subaru, Forester Premium, $25,957, Fair Price, 32,773 miles, 
Used 2022 Subaru, Impreza Premium 5-door CVT, $20,848, Excellent Price, 27,643 miles, 
Used 2022 Subaru, WRX GT CVT, $27,395, Excellent Price, 42,959 miles, 
Used 2022 Subaru, WRX Premium Manual, $26,360, Excellent Price, 18,334 miles, 
Used 2022 Subaru, Crosstrek 2.5i Sport CVT, $23,499, Great Price, 25,078 miles, 
Used 2022 Subaru, Impreza Premium 5-door CVT, $20,980, Great Price, 29,103 miles, 
Used 2022 Subaru, Forester Premium, $25,595, Fair Price, 29,669 miles, 
Used 2022 Subaru, Outback 2.5i Limited, $26,827, Great Price, 34,077 miles, 
Used 2022 Subaru, Forester Touring, $25,795, Great Price, 27,907 miles, 
Used 2022 Subaru, Outback 2.5i Premium, $24,998, Great Price, 34,129 miles, 
Used 2022 Subaru, Forester Limited, $28,995, Fair Price, 28,949 miles, 
Used 2022 Subaru, Impreza Premium Sedan CVT, $19,793, Great Price, 31,275 miles, 
Used 2022 Subaru, Outback 2.5i Premium, $24,995, Excellent Price, 20,944 miles, 
Used 2022 Subaru, Outback 2.4T Limited XT, $27,395, Great Price, 24,285 miles, 
Used 2022 Subaru, Forester Wilderness, $25,999, Great Price, 45,897 miles, 
Used 2022 Subaru, Forester Premium, $25,713, Fair Price, 21,161 miles, 
Used 2022 Subaru, Outback 2.5i Premium, $17,999, Great Price, 101,262 miles, 
Used 2022 Subaru, Forester Limited, $26,739, Fair Price, 48,883 miles, 
Used 2022 Subaru, Outback 2.5i Premium, $24,742, Excellent Price, 25,534 miles, 
Used 2022 Subaru, Forester Premium, $26,996, Fair Price, 29,946 miles, 
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, $26,788, Fair Price, 13,889 miles, 
Used 2022 Subaru, Forester 2.5i, $24,668, Fair Price, 32,369 miles, 
Used 2022 Subaru, Outback 2.5i Premium, $25,995, Fair Price, 34,046 miles, 
Used 2022 Subaru, Forester Wilderness, $27,000, Excellent Price, 20,644 miles, 
Used 2022 Subaru, Impreza 5-door CVT, $18,250, Great Price, 20,791 miles, 
Used 2022 Subaru, Outback 2.5i Limited, $27,995, Fair Price, 36,045 miles, 
Used 2022 Subaru, Forester Wilderness, $27,995, Great Price, 35,164 miles, 
Used 2022 Subaru, Forester Premium, $25,595, Fair Price, 29,669 miles, 
Used 2022 Subaru, Outback 2.4T Limited XT, $32,823, Great Price, 21,687 miles, 
Used 2022 Subaru, Impreza Premium 5-door CVT, $20,980, Great Price, 29,103 miles, 
Used 2022 Subaru, Forester Wilderness, $31,998, Fair Price, 18,342 miles, 
Used 2022 Subaru, Forester Premium, $24,998, Great Price, 53,777 miles, 
Used 2022 Subaru, Forester 2.5i, $24,668, Fair Price, 32,369 miles, 
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, $22,699, Great Price, 65,158 miles, 
Used 2022 Subaru, Forester 2.5i, $22,500, Great Price, 40,403 miles, 
Used 2022 Subaru, Crosstrek 2.5i Sport CVT, $24,299, Excellent Price, 29,454 miles, 
Used 2022 Subaru, WRX Premium Manual, $26,595, Great Price, 21,986 miles, 
Used 2022 Subaru, Legacy 2.5i Limited, $25,996, Fair Price, 24,059 miles, 
Used 2022 Subaru, Forester Wilderness, $29,995, Fair Price, 18,243 miles, 
Used 2022 Subaru, Forester Sport, $25,995, Excellent Price, 37,390 miles, 
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, $26,998, Great Price, 34,018 miles, 
Used 2022 Subaru, Impreza Premium 5-door CVT, $13,999, Excellent Price, 120,496 miles, 
Used 2022 Subaru, Ascent Limited 7-Passenger, $29,999, Fair Price, 36,036 miles, 
Used 2022 Subaru, Ascent Limited 7-Passenger, $29,710, Excellent Price, 33,557 miles, 
Used 2022 Subaru, Forester Limited, $26,739, Fair Price, 48,883 miles, 
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, $25,143, Great Price, 26,614 miles, 
Used 2022 Subaru, Forester Touring, $32,997, Great Price, 26,883 miles, 
Used 2022 Subaru, Outback 2.5i Premium, $25,794, Great Price, 18,553 miles, 
Used 2022 Subaru, Forester Premium, $25,713, Fair Price, 21,161 miles, 
Used 2022 Subaru, Crosstrek 2.5i Sport CVT, $24,250, Great Price, 42,556 miles, 
Used 2022 Subaru, Ascent Limited 7-Passenger, $30,349, Great Price, 40,016 miles, 
Used 2022 Subaru, Ascent Touring 7-Passenger, $26,495, Excellent Price, 50,700 miles, 
Used 2022 Subaru, Ascent Limited 7-Passenger, $32,998, Great Price, 27,260 miles, 
Used 2022 Subaru, WRX Premium Manual, $23,990, Excellent Price, 44,897 miles, 
Used 2022 Subaru, Legacy 2.5i Limited, $25,000, Great Price, 32,148 miles, 
Used 2022 Subaru, Crosstrek 2.0i Premium CVT, $21,733, Great Price, 50,063 miles, 
Used 2022 Subaru, Crosstrek 2.5i Sport CVT, $26,182, Great Price, 22,023 miles, 
Used 2022 Subaru, Outback 2.5i Premium, $25,178, Great Price, 30,432 miles, 
Used 2022 Subaru, Crosstrek 2.0i Premium CVT, $22,477, Great Price, 39,716 miles, 
Used 2022 Subaru, Outback 2.5i Limited, $16,305, Excellent Price, 109,859 miles, 
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, $24,699, Great Price, 36,081 miles, 
Used 2022 Subaru, Forester Limited, $28,995, Fair Price, 28,949 miles, 
Used 2022 Subaru, Impreza Premium 5-door CVT, $23,760, Great Price, 14,992 miles, 
Used 2022 Subaru, Crosstrek 2.5i Sport CVT, $24,999, Great Price, 25,662 miles, 
Used 2022 Subaru, Legacy 2.4T Limited XT, $26,305, Excellent Price, 28,990 miles, 
Used 2022 Subaru, Crosstrek 2.0i Premium CVT, $23,488, Great Price, 41,931 miles, 
Used 2022 Subaru, Outback 2.4T Limited XT, $28,866, Great Price, 38,154 miles, 
Used 2022 Subaru, Forester Wilderness, $26,972, Excellent Price, 41,179 miles, 
Used 2022 Subaru, Ascent Touring 7-Passenger, $28,848, Great Price, 46,048 miles, 
Used 2022 Subaru, Outback 2.4T Wilderness, $28,299, Great Price, 49,217 miles, 
Used 2022 Subaru, Legacy 2.4T Limited XT, $28,243, Great Price, 9,055 miles, 
Used 2022 Subaru, Ascent Limited 7-Passenger, $31,000, Great Price, 36,546 miles, 
Used 2022 Subaru, Ascent Touring 7-Passenger, $26,991, Great Price, 65,623 miles, 
Used 2022 Subaru, Outback 2.5i Limited, $24,911, Excellent Price, 38,169 miles, 
Used 2022 Subaru, Outback 2.5i Limited, $26,492, Great Price, 36,518 miles, 
Used 2022 Subaru, Forester Touring, $29,999, Great Price, 34,221 miles, 
Used 2022 Subaru, Outback 2.5i Premium, $25,799, Great Price, 27,685 miles, 
Used 2022 Subaru, Impreza Premium 5-door CVT, $21,485, Great Price, 18,587 miles, 
Used 2022 Subaru, Crosstrek 2.0i Premium CVT, $23,585, Great Price, 25,394 miles, 
Used 2022 Subaru, Outback 2.5i Premium, $20,777, Great Price, 77,959 miles, 
Used 2022 Subaru, Forester Premium, $26,996, Fair Price, 29,946 miles, 
Used 2022 Subaru, Outback 2.5i Touring, $25,604, Great Price, 59,269 miles, 
Used 2022 Subaru, Crosstrek 2.0i Premium CVT, $23,534, Great Price, 37,298 miles, 
Used 2022 Subaru, Forester 2.5i, $19,995, Great Price, 67,852 miles, 
Used 2022 Subaru, WRX Premium Manual, $29,999, Great Price, 9,971 miles, 
Used 2022 Subaru, Forester Touring, $30,999, Great Price, 20,060 miles, 
