Year/Make, Model, Price, Rating, Mileage
Used 2023 Genesis, GV70 2.5T, 38035, Excellent Price, 27608
Used 2023 Genesis, G70 2.0T AWD, 33998, Fair Price, 16033
Used 2023 Genesis, GV70 2.5T, 33000, High Price, 70805
Used 2023 Genesis, GV80 3.5T Advanced + AWD, 47995, High Price, 41616
Used 2023 Genesis, G70 2.0T RWD, 25990, Fair Price, 62027
