Used 2020 Hyundai, Elantra SEL 2.0L IVT, $11,995, Excellent Price, 57,298 miles, 
Used 2020 Hyundai, Santa Fe SEL 2.4L FWD, $15,406, Fair Price, 79,712 miles, 
Used 2020 Hyundai, Palisade SEL AWD, $20,995, Fair Price, 104,096 miles, 
Used 2020 Hyundai, Tucson SE AWD, $13,327, Excellent Price, 79,232 miles, 
Used 2020 Hyundai, Palisade SE AWD, $21,850, Excellent Price, 73,546 miles, 
Used 2020 Hyundai, Kona Limited AWD DCT, $19,995, Great Price, 13,237 miles, 
Used 2020 Hyundai, Elantra Value Edition 2.0L IVT, $13,750, Excellent Price, 62,364 miles, 
Used 2020 Hyundai, Palisade Limited AWD, $25,602, Great Price, 77,236 miles, 
Used 2020 Hyundai, Santa Fe SEL 2.0T FWD, $16,900, Excellent Price, 68,460 miles, 
Used 2020 Hyundai, Palisade Limited AWD, $27,936, Great Price, 52,052 miles, 
Used 2020 Hyundai, Palisade SEL AWD, $19,996, Great Price, 98,163 miles, 
Used 2020 Hyundai, Santa Fe Limited 2.4L AWD, $17,493, Great Price, 94,120 miles, 
Used 2020 Hyundai, Elantra SEL 2.0L IVT, $9,995, Excellent Price, 74,656 miles, 
Used 2020 Hyundai, Tucson Value AWD, $14,899, Great Price, 82,465 miles, 
Used 2020 Hyundai, Tucson Sport AWD, $18,691, Excellent Price, 48,710 miles, 
Used 2020 Hyundai, Elantra SEL IVT (SULEV), $10,997, Great Price, 107,473 miles, 
Used 2020 Hyundai, Sonata SEL Plus, $19,190, Great Price, 29,965 miles, 
Used 2020 Hyundai, Elantra SEL 2.0L IVT, $10,995, Excellent Price, 77,859 miles, 
Used 2020 Hyundai, Santa Fe Limited 2.0T AWD, $17,390, Fair Price, 92,045 miles, 
Used 2020 Hyundai, Ioniq Electric Limited, $15,999, Excellent Price, 25,480 miles, 
Used 2020 Hyundai, Palisade Limited AWD, $22,595, Fair Price, 90,686 miles, 
Used 2020 Hyundai, Santa Fe SEL 2.4L AWD, $22,998, High Price, 33,179 miles, 
Used 2020 Hyundai, Sonata SEL, $19,446, Great Price, 17,733 miles, 
Used 2020 Hyundai, Palisade SEL AWD, $20,595, Excellent Price, 60,167 miles, 
Used 2020 Hyundai, Santa Fe SEL 2.4L AWD, $18,098, Excellent Price, 60,168 miles, 
Used 2020 Hyundai, Elantra SEL IVT (SULEV), $16,998, Great Price, 35,843 miles, 
Used 2020 Hyundai, Venue SEL IVT, $11,499, Great Price, 86,157 miles, 
Used 2020 Hyundai, Sonata Limited, $16,995, High Price, 77,477 miles, 
Used 2020 Hyundai, Palisade Limited AWD, $23,705, Fair Price, 85,485 miles, 
Used 2020 Hyundai, Ioniq Electric SE, $14,290, Great Price, 39,320 miles, 
Used 2020 Hyundai, Kona SE FWD Automatic, $9,986, Excellent Price, 100,006 miles, 
Used 2020 Hyundai, Veloster N Manual, $21,127, Fair Price, 45,032 miles, 
Used 2020 Hyundai, Tucson SE AWD, $16,422, Great Price, 66,555 miles, 
Used 2020 Hyundai, Santa Fe SEL 2.4L AWD, $16,505, Great Price, 84,398 miles, 
Used 2020 Hyundai, Santa Fe SEL 2.4L AWD, $15,995, Great Price, 84,082 miles, 
Used 2020 Hyundai, Santa Fe Limited 2.4L AWD, $16,941, Excellent Price, 81,581 miles, 
