Used 2019 Hyundai, Elantra Value Edition 2.0L Automatic, $17,000, Great Price, 17,276 miles, 
Used 2019 Hyundai, Sonata SE 2.4L, $14,495, Great Price, 42,703 miles, 
Used 2019 Hyundai, Santa Fe SE 2.4L FWD, $9,999, Excellent Price, 113,995 miles, 
Used 2019 Hyundai, Sonata SEL 2.4L, $9,999, Fair Price, 111,938 miles, 
Used 2019 Hyundai, Santa Fe SEL Plus 2.4L AWD, $15,995, Fair Price, 99,308 miles, 
Used 2019 Hyundai, Tucson Sport AWD, $17,998, Great Price, 76,611 miles, 
Used 2019 Hyundai, Tucson Sport FWD, $15,688, Great Price, 93,138 miles, 
Used 2019 Hyundai, Kona SEL AWD Automatic, $16,495, Fair Price, 51,735 miles, 
Used 2019 Hyundai, Tucson Value AWD, $12,964, Fair Price, 92,739 miles, 
Used 2019 Hyundai, Sonata SE 2.4L, $17,383, High Price, 20,863 miles, 
Used 2019 Hyundai, Tucson SE FWD, $15,537, Fair Price, 58,001 miles, 
Used 2019 Hyundai, Accent Limited Automatic, $10,991, Fair Price, 94,000 miles, 
Used 2019 Hyundai, Kona SEL FWD Automatic, $17,998, Fair Price, 42,753 miles, 
Used 2019 Hyundai, Santa Fe SEL Plus 2.4L AWD, $15,995, Fair Price, 96,946 miles, 
Used 2019 Hyundai, Sonata SE 2.4L, $12,904, Excellent Price, 28,428 miles, 
Used 2019 Hyundai, Accent SEL Automatic, $9,799, High Price, 83,703 miles, 
Used 2019 Hyundai, Sonata SE 2.4L, $12,904, Excellent Price, 28,428 miles, 
Used 2019 Hyundai, Elantra Value Edition 2.0L Automatic, $17,000, Great Price, 17,276 miles, 
Used 2019 Hyundai, Santa Fe SEL Plus 2.4L AWD, $15,995, Fair Price, 96,946 miles, 
Used 2019 Hyundai, Elantra SE 2.0L Automatic, $18,998, High Price, 4,854 miles, 
Used 2019 Hyundai, Sonata Sport 2.4L, $11,495, High Price, 45,732 miles, 
Used 2019 Hyundai, Accent SEL Automatic, $14,885, High Price, 11,193 miles, 
Used 2019 Hyundai, Accent Limited Automatic, $10,991, Fair Price, 94,000 miles, 
Used 2019 Hyundai, Tucson Value AWD, $15,995, Excellent Price, 56,928 miles, 
Used 2019 Hyundai, Tucson Sport FWD, $15,688, Great Price, 93,138 miles, 
Used 2019 Hyundai, Sonata Sport 2.4L, $15,600, Fair Price, 51,695 miles, 
Used 2019 Hyundai, Kona SE AWD Automatic, $12,995, High Price, 119,047 miles, 
Used 2019 Hyundai, Sonata SE 2.4L, $13,950, High Price, 71,294 miles, 
Used 2019 Hyundai, Tucson SE FWD, $15,537, Fair Price, 58,001 miles, 
Used 2019 Hyundai, Veloster Turbo R-Spec Manual, $19,998, High Price, 50,046 miles, 
Used 2019 Hyundai, Elantra Value Edition 2.0L Automatic, $13,695, High Price, 79,459 miles, 
Used 2019 Hyundai, Santa Fe SEL 2.4L AWD, $16,995, Fair Price, 60,174 miles, 
Used 2019 Hyundai, Tucson SE AWD, $16,001, Fair Price, 41,820 miles, 
Used 2019 Hyundai, Santa Fe SEL Plus 2.4L AWD, $14,724, Fair Price, 100,225 miles, 
Used 2019 Hyundai, Tucson SEL AWD, $14,996, High Price, 104,486 miles, 
Used 2019 Hyundai, Kona Limited AWD DCT, $18,688, Fair Price, 50,326 miles, 
Used 2019 Hyundai, Santa Fe SE 2.4L AWD, $16,444, High Price, 71,525 miles, 
Used 2019 Hyundai, Sonata SEL 2.4L, $18,998, Fair Price, 13,951 miles, 
Used 2019 Hyundai, Elantra Sport 1.6T Manual, $12,995, Excellent Price, 61,643 miles, 
Used 2019 Hyundai, Kona Ultimate AWD DCT, $17,995, Fair Price, 61,411 miles, 
Used 2019 Hyundai, Sonata SE 2.4L, $16,450, High Price, 49,202 miles, 
Used 2019 Hyundai, Kona SE AWD Automatic, $13,299, Great Price, 76,843 miles, 
Used 2019 Hyundai, Kona Limited FWD DCT, $11,995, Fair Price, 105,032 miles, 
Used 2019 Hyundai, Kona SE AWD Automatic, $17,995, High Price, 49,147 miles, 
Used 2019 Hyundai, Tucson SE AWD, $14,805, Fair Price, 70,351 miles, 
Used 2019 Hyundai, Tucson Ultimate AWD, $20,895, Fair Price, 58,269 miles, 
Used 2019 Hyundai, Santa Fe Ultimate 2.0T AWD, $24,999, High Price, 47,801 miles, 
Used 2019 Hyundai, Sonata SE 2.4L, $17,995, High Price, 35,628 miles, 
Used 2019 Hyundai, Santa Fe SE 2.4L AWD, $16,444, High Price, 71,525 miles, 
Used 2019 Hyundai, Sonata Sport 2.4L, $15,600, Fair Price, 51,695 miles, 
Used 2019 Hyundai, Accent SE Automatic, $11,495, High Price, 89,576 miles, 
Used 2019 Hyundai, Sonata SEL 2.4L, $14,495, High Price, 78,379 miles, 
Used 2019 Hyundai, Santa Fe SEL Plus 2.4L AWD, $14,724, Fair Price, 100,225 miles, 
Used 2019 Hyundai, Tucson SE AWD, $16,001, Fair Price, 41,820 miles, 
Used 2019 Hyundai, Elantra SE 2.0L Automatic, $13,998, Fair Price, 83,723 miles, 
Used 2019 Hyundai, Santa Fe Limited 2.4L FWD, $16,999, High Price, 105,506 miles, 
Used 2019 Hyundai, Tucson SE AWD, $14,090, Fair Price, 82,492 miles, 
Used 2019 Hyundai, Kona SE AWD Automatic, $13,931, Excellent Price, 73,259 miles, 
Used 2019 Hyundai, Tucson SE AWD, $16,983, Fair Price, 53,269 miles, 
Used 2019 Hyundai, Tucson Limited AWD, $20,769, Fair Price, 38,324 miles, 
Used 2019 Hyundai, Kona Limited FWD DCT, $11,995, Fair Price, 105,032 miles, 
Used 2019 Hyundai, Kona SE AWD Automatic, $17,995, High Price, 49,147 miles, 
Used 2019 Hyundai, Kona Limited AWD DCT, $15,995, High Price, 86,715 miles, 
Used 2019 Hyundai, Santa Fe SE 2.4L AWD, $13,499, High Price, 104,575 miles, 
Used 2019 Hyundai, Tucson Sport AWD, $20,491, Fair Price, 16,368 miles, 
Used 2019 Hyundai, Elantra SE 2.0L Automatic, $16,625, High Price, 25,357 miles, 
Used 2019 Hyundai, Elantra SEL 2.0L Automatic, $12,995, High Price, 86,748 miles, 
Used 2019 Hyundai, Elantra SEL 2.0L Automatic, $17,995, High Price, 55,315 miles, 
Used 2019 Hyundai, Sonata SE 2.4L, $18,998, High Price, 26,720 miles, 
Used 2019 Hyundai, Tucson Value FWD, $13,499, Fair Price, 92,524 miles, 
Used 2019 Hyundai, Santa Fe Limited 2.0T AWD, $18,995, Fair Price, 80,271 miles, 
Used 2019 Hyundai, Tucson Limited AWD, $18,995, High Price, 82,288 miles, 
Used 2019 Hyundai, Elantra Value Edition 2.0L Automatic, $13,632, Fair Price, 68,032 miles, 
Used 2019 Hyundai, Elantra SE 2.0L Automatic, $12,977, High Price, 83,031 miles, 
Used 2019 Hyundai, Kona SEL AWD Automatic, $15,972, Great Price, 58,499 miles, 
Used 2019 Hyundai, Kona SE AWD Automatic, $16,495, High Price, 102,777 miles, 
Used 2019 Hyundai, Santa Fe SE 2.4L AWD, $15,245, High Price, 73,146 miles, 
Used 2019 Hyundai, Tucson Sport AWD, $17,834, High Price, 66,863 miles, 
