Year/Make, Model, Price, Rating, Mileage
Used 2024 Lexus, RX 350h Luxury AWD, 62998, Fair Price, 23191
Used 2024 Lexus, ES 350 F SPORT Handling FWD, 48000, High Price, 19286
Used 2024 Lexus, GX 550 Overtrail, 86950, High Price, 19055
Used 2024 Lexus, ES 300h Luxury FWD, 44980, Fair Price, 29221
Used 2024 Lexus, IS 500 F SPORT Performance RWD, 67500, High Price, 5704
Used 2024 Lexus, GX 550 Luxury+, 93990, Fair Price, 16818
Used 2024 Lexus, RX 350 AWD, 61980, High Price, 18550
Used 2024 Lexus, NX 350h Luxury AWD, 49500, High Price, 13667
Used 2024 Lexus, GX 550 Premium, 76999, Fair Price, 15708
Used 2024 Lexus, GX 550 Premium+, 78980, High Price, 2515
