Used 2018 Toyota, Tacoma TRD Off Road Double Cab 5' Bed V6 4WD Automatic, $28,888, Fair Price, 99,406 miles, 
Used 2018 Toyota, RAV4 LE AWD, $15,995, Excellent Price, 86,922 miles, 
Used 2018 Toyota, Highlander XLE V6 AWD, $25,998, Great Price, 77,484 miles, 
Used 2018 Toyota, Highlander XLE V6 AWD, $24,190, Great Price, 75,408 miles, 
Used 2018 Toyota, RAV4 XLE FWD, $14,999, High Price, 120,068 miles, 
Used 2018 Toyota, C-HR XLE FWD, $11,699, Great Price, 139,631 miles, 
Used 2018 Toyota, Tacoma Limited Double Cab 5' Bed V6 4WD Automatic, $33,500, Excellent Price, 38,784 miles, 
Used 2018 Toyota, Tacoma TRD Off Road Double Cab 5' Bed V6 4WD Automatic, $31,495, Great Price, 64,390 miles, 
Used 2018 Toyota, RAV4 LE AWD, $19,999, High Price, 59,753 miles, 
Used 2018 Toyota, RAV4 Hybrid XLE AWD, $18,750, High Price, 94,574 miles, 
Used 2018 Toyota, Camry XLE I4 Automatic, $16,495, Excellent Price, 79,379 miles, 
Used 2018 Toyota, Tundra Platinum CrewMax 5.5' Bed 5.7L V8 4WD, $31,246, Fair Price, 120,658 miles, 
Used 2018 Toyota, Camry SE I4 Automatic, $17,987, Great Price, 80,449 miles, 
Used 2018 Toyota, RAV4 SE AWD, $20,900, Great Price, 42,000 miles, 
Used 2018 Toyota, Camry SE I4 Automatic, $14,795, Great Price, 112,044 miles, 
Used 2018 Toyota, Tacoma Limited Double Cab 5' Bed V6 4WD Automatic, $24,992, Great Price, 140,806 miles, 
Used 2018 Toyota, Corolla L CVT, $13,998, Great Price, 75,785 miles, 
Used 2018 Toyota, C-HR XLE FWD, $13,712, Fair Price, 113,403 miles, 
Used 2018 Toyota, RAV4 LE AWD, $14,995, High Price, 144,000 miles, 
Used 2018 Toyota, Sienna LE 7-Passenger AWD, $20,497, Fair Price, 109,054 miles, 
Used 2018 Toyota, Avalon Limited, $16,000, Fair Price, 145,480 miles, 
Used 2018 Toyota, Avalon Hybrid Limited, $16,500, Great Price, 162,181 miles, 
Used 2018 Toyota, RAV4 XLE AWD, $18,999, Excellent Price, 76,877 miles, 
Used 2018 Toyota, Prius Two, $16,995, Excellent Price, 73,196 miles, 
Used 2018 Toyota, Camry XLE I4 Automatic, $18,999, Great Price, 88,259 miles, 
Used 2018 Toyota, Camry SE I4 Automatic, $17,988, Fair Price, 78,917 miles, 
Used 2018 Toyota, Avalon Hybrid XLE Premium, $21,997, Fair Price, 71,970 miles, 
Used 2018 Toyota, Avalon XLE, $17,491, Fair Price, 90,045 miles, 
Used 2018 Toyota, Highlander SE V6 AWD, $21,995, High Price, 97,051 miles, 
Used 2018 Toyota, Camry SE I4 Automatic, $20,742, High Price, 71,341 miles, 
Used 2018 Toyota, Camry L I4 Automatic, $21,889, High Price, 15,975 miles, 
Used 2018 Toyota, Tacoma SR5 Access Cab 6.1' Bed V6 4WD Automatic, $34,879, High Price, 16,464 miles, 
Used 2018 Toyota, Corolla XSE CVT, $16,450, Fair Price, 54,026 miles, 
Used 2018 Toyota, Highlander Limited V6 AWD, $19,950, High Price, 135,333 miles, 
Used 2018 Toyota, Tundra Platinum CrewMax 5.5' Bed 5.7L V8 4WD, $31,246, Fair Price, 120,658 miles, 
Used 2018 Toyota, Tacoma TRD Sport Double Cab 5' Bed V6 4WD Automatic, $28,991, Fair Price, 86,873 miles, 
Used 2018 Toyota, Highlander LE V6 AWD, $22,959, High Price, 91,478 miles, 
