Year/Make, Model, Price, Rating, Mileage
Used 2022 Kia, Sorento LX AWD, 23455, Great Price, 38645, 
Used 2022 Kia, Sorento SX AWD, 31985, Fair Price, 22941, 
Used 2022 Kia, Soul S IVT, 16524, Excellent Price, 35320, 
Used 2022 Kia, Sportage SX Turbo AWD, 23897, Excellent Price, 3596, 
Used 2022 Kia, K5 GT-Line FWD, 24750, Great Price, 16999, 
Used 2022 Kia, Sportage EX AWD, 17995, Excellent Price, 83033, 
Used 2022 Kia, Sorento SX AWD, 29995, Great Price, 32156, 
Used 2022 Kia, Sorento X-Line SX Prestige AWD, 31998, Excellent Price, 37074, 
Used 2022 Kia, Soul LX IVT, 15388, Great Price, 49849, 
Used 2022 Kia, Telluride EX AWD, 31995, Great Price, 42694, 
Used 2022 Kia, Telluride S AWD, 25424, Great Price, 98566, 
Used 2022 Kia, Sorento X-Line SX Prestige AWD, 33895, Fair Price, 14752, 
Used 2022 Kia, K5 GT-Line AWD, 23999, Excellent Price, 31849, 
Used 2022 Kia, Seltos EX 2.0 AWD, 20995, Fair Price, 29969, 
Used 2022 Kia, Seltos EX 2.0 AWD, 16895, Great Price, 79448, 
Used 2022 Kia, Soul S IVT, 16524, Excellent Price, 35320, 
Used 2022 Kia, Sportage LX AWD, 17885, Great Price, 21328, 
Used 2022 Kia, Sorento LX FWD, 19686, Great Price, 61127, 
Used 2022 Kia, Telluride SX AWD, 37495, Great Price, 24167, 
Used 2022 Kia, Sorento SX AWD, 29995, Great Price, 32156, 
Used 2022 Kia, Stinger GT1 AWD, 29995, Fair Price, 33271, 
Used 2022 Kia, Sorento SX AWD, 29990, Great Price, 17646, 
Used 2022 Kia, Soul LX IVT, 15888, Fair Price, 19514, 
Used 2022 Kia, Niro EV EX, 17588, Excellent Price, 21468, 
Used 2022 Kia, Soul LX IVT, 15388, Great Price, 49849, 
Used 2022 Kia, Sorento S FWD, 25998, Fair Price, 23460, 
Used 2022 Kia, Forte GT-Line IVT, 18395, High Price, 58153, 
Used 2022 Kia, Sorento X-Line EX AWD, 27504, Fair Price, 47915, 
Used 2022 Kia, K5 GT-Line FWD, 24750, Great Price, 16999, 
Used 2022 Kia, Niro EV S, 11218, Excellent Price, 69197, 
Used 2022 Kia, Forte LXS IVT, 12379, Excellent Price, 107795, 
Used 2022 Kia, K5 LXS FWD, 18627, Fair Price, 47331, 
Used 2022 Kia, Sorento Hybrid S AWD, 27259, Fair Price, 42080, 
Used 2022 Kia, Forte GT-Line IVT, 20544, Fair Price, 21317, 
Used 2022 Kia, Forte LXS IVT, 17459, Fair Price, 21989, 
Used 2022 Kia, Sorento Hybrid S AWD, 25841, Great Price, 40556, 
Used 2022 Kia, Telluride LX AWD, 29488, Fair Price, 38152, 
Used 2022 Kia, Seltos EX 2.0 AWD, 20995, Fair Price, 34095, 
Used 2022 Kia, Telluride S AWD, 25424, Great Price, 98566, 
Used 2022 Kia, Sportage Nightfall AWD, 20595, Fair Price, 64874, 
Used 2022 Kia, Telluride EX FWD, 29995, High Price, 53379, 
Used 2022 Kia, Forte GT-Line IVT, 17559, Great Price, 38249, 
Used 2022 Kia, Telluride S AWD, 32767, Fair Price, 14631, 
Used 2022 Kia, K5 GT-Line FWD, 22997, Great Price, 49429, 
Used 2022 Kia, Telluride S FWD, 27594, Great Price, 71507, 
Used 2022 Kia, Sportage LX FWD, 17290, Great Price, 47440, 
Used 2022 Kia, Soul LX IVT, 15895, Fair Price, 46918, 
Used 2022 Kia, Sorento SX AWD, 29495, Fair Price, 14111, 
Used 2022 Kia, EV6 Wind RWD, 17999, Excellent Price, 26982, 
Used 2022 Kia, Sportage LX AWD, 20155, Great Price, 29333, 
Used 2022 Kia, Niro EV S, 11218, Excellent Price, 69197, 
Used 2022 Kia, Sportage LX AWD, 17885, Great Price, 21328, 
Used 2022 Kia, Telluride SX AWD, 31990, Great Price, 68003, 
Used 2022 Kia, Sportage LX FWD, 17295, Great Price, 37508, 
Used 2022 Kia, K5 GT-Line FWD, 22995, Fair Price, 18215, 
Used 2022 Kia, Forte GT-Line IVT, 17478, Fair Price, 27132, 
Used 2022 Kia, Sorento S FWD, 25998, Fair Price, 23460, 
Used 2022 Kia, K5 GT-Line AWD, 24934, Great Price, 20897, 
Used 2022 Kia, Forte GT-Line IVT, 16495, Excellent Price, 61712, 
Used 2022 Kia, Soul LX IVT, 15664, Great Price, 52396, 
Used 2022 Kia, Sorento Hybrid S AWD, 27259, Fair Price, 42080, 
Used 2022 Kia, Forte LXS IVT, 15888, Fair Price, 25140, 
Used 2022 Kia, Forte GT-Line IVT, 19600, Fair Price, 12524, 
Used 2022 Kia, Sportage LX FWD, 13402, Great Price, 101286, 
Used 2022 Kia, Forte LXS IVT, 17459, Fair Price, 21989, 
Used 2022 Kia, Telluride SX AWD, 31980, Fair Price, 64940, 
Used 2022 Kia, Telluride EX AWD, 32086, Fair Price, 51069, 
Used 2022 Kia, Sorento SX AWD, 31200, Great Price, 21927, 
Used 2022 Kia, Forte GT-Line IVT, 18535, Great Price, 39237, 
Used 2022 Kia, Forte LXS IVT, 17999, Great Price, 23925, 
