Used 2023 Mazda, CX-5 2.5 S Select, $24,986, Fair Price, 24,153 miles, 
Used 2023 Mazda, CX-5 2.5 S Select, $23,999, Fair Price, 31,220 miles, 
Used 2023 Mazda, CX-5 2.5 S Preferred, $25,900, Fair Price, 19,935 miles, 
Used 2023 Mazda, CX-30 Turbo Premium Plus, $25,987, Fair Price, 27,547 miles, 
Used 2023 Mazda, CX-5 2.5 S Select, $25,995, High Price, 26,431 miles, 
Used 2023 Mazda, CX-5 2.5 S Premium, $27,554, Great Price, 15,044 miles, 
Used 2023 Mazda, CX-5 2.5 S Preferred, $25,190, Fair Price, 30,689 miles, 
Used 2023 Mazda, CX-30 S, $22,984, Fair Price, 17,875 miles, 
Used 2023 Mazda, CX-5 2.5 S Preferred, $28,998, High Price, 17,357 miles, 
Used 2023 Mazda, CX-9 Grand Touring, $33,990, Great Price, 19,679 miles, 
Used 2023 Mazda, CX-30 Select, $24,984, Fair Price, 10,495 miles, 
Used 2023 Mazda, CX-9 Touring Plus, $31,795, Fair Price, 30,606 miles, 
Used 2023 Mazda, CX-30 Select, $25,654, High Price, 11,063 miles, 
Used 2023 Mazda, CX-30 Select, $24,911, High Price, 22,238 miles, 
Used 2023 Mazda, CX-5 2.5 S Select, $26,500, Fair Price, 12,543 miles, 
Used 2023 Mazda, CX-9 Touring Plus, $31,947, High Price, 19,451 miles, 
Used 2023 Mazda, MX-5 Miata RF Grand Touring Automatic, $28,995, Excellent Price, 25,059 miles, 
Used 2023 Mazda, CX-5 2.5 S Select, $25,984, High Price, 35,682 miles, 
Used 2023 Mazda, CX-5 2.5 S Preferred, $25,999, High Price, 56,542 miles, 
Used 2023 Mazda, CX-30 Select, $24,795, High Price, 9,041 miles, 
Used 2023 Mazda, CX-30 Carbon Edition, $25,500, Fair Price, 34,364 miles, 
Used 2023 Mazda, CX-5 2.5 S Select, $27,495, High Price, 10,217 miles, 
Used 2023 Mazda, CX-30 Select, $25,495, High Price, 10,347 miles, 
Used 2023 Mazda, CX-9 Touring Plus, $31,795, High Price, 37,979 miles, 
Used 2023 Mazda, CX-30 Carbon Edition, $25,500, Fair Price, 34,364 miles, 
Used 2023 Mazda, MX-5 Miata RF Grand Touring Automatic, $28,995, Excellent Price, 25,059 miles, 
Used 2023 Mazda, CX-5 2.5 S Preferred, $25,900, Fair Price, 19,935 miles, 
Used 2023 Mazda, CX-5 2.5 S Select, $24,750, High Price, 28,485 miles, 
Used 2023 Mazda, CX-5 2.5 S Select, $25,900, High Price, 26,927 miles, 
Used 2023 Mazda, CX-30 Turbo Premium Plus, $25,987, Fair Price, 27,547 miles, 
Used 2023 Mazda, CX-30 S, $23,500, High Price, 24,356 miles, 
Used 2023 Mazda, CX-9 Touring, $27,994, Fair Price, 34,202 miles, 
Used 2023 Mazda, CX-5 2.5 S Premium, $27,554, Great Price, 15,044 miles, 
Used 2023 Mazda, CX-50 Preferred Plus, $27,495, Fair Price, 38,062 miles, 
Used 2023 Mazda, CX-30 Turbo Premium, $27,995, High Price, 39,703 miles, 
Used 2023 Mazda, CX-5 2.5 S Carbon Edition, $27,995, High Price, 48,714 miles, 
Used 2023 Mazda, CX-5 2.5 S Preferred, $26,995, Fair Price, 38,003 miles, 
Used 2023 Mazda, CX-30 Carbon Edition, $25,836, Fair Price, 31,388 miles, 
Used 2023 Mazda, CX-5 2.5 S Preferred, $27,553, Fair Price, 11,156 miles, 
Used 2023 Mazda, CX-5 2.5 S, $24,495, High Price, 38,643 miles, 
Used 2023 Mazda, CX-9 Carbon Edition, $31,787, High Price, 43,054 miles, 
Used 2023 Mazda, CX-9 Grand Touring, $34,795, Fair Price, 28,211 miles, 
Used 2023 Mazda, CX-9 Grand Touring, $33,489, Fair Price, 23,067 miles, 
Used 2023 Mazda, CX-5 2.5 S Select, $25,500, Fair Price, 14,755 miles, 
Used 2023 Mazda, CX-5 2.5 S Carbon Edition, $29,995, High Price, 14,237 miles, 
Used 2023 Mazda, MX-5 Miata Club Manual, $32,589, Fair Price, 9,638 miles, 
Used 2023 Mazda, CX-30 Carbon Edition, $26,500, High Price, 23,661 miles, 
Used 2023 Mazda, CX-50 Turbo Premium, $30,975, Fair Price, 29,500 miles, 
Used 2023 Mazda, CX-30 Select, $24,911, High Price, 23,901 miles, 
Used 2023 Mazda, CX-30 Preferred, $23,987, High Price, 44,503 miles, 
Used 2023 Mazda, CX-5 2.5 S Select, $25,995, High Price, 36,365 miles, 
Used 2023 Mazda, CX-30 Preferred, $24,498, Fair Price, 28,114 miles, 
Used 2023 Mazda, CX-5 2.5 S Select, $25,500, High Price, 28,947 miles, 
Used 2023 Mazda, CX-9 Touring, $30,244, High Price, 20,106 miles, 
Used 2023 Mazda, CX-50 Preferred Plus, $25,499, Fair Price, 39,879 miles, 
Used 2023 Mazda, Mazda3 2.5 Turbo Hatchback Automatic AWD, $25,987, Great Price, 27,639 miles, 
Used 2023 Mazda, CX-5 2.5 S Carbon Edition, $28,770, Fair Price, 24,904 miles, 
Used 2023 Mazda, CX-5 2.5 S Premium, $28,995, Fair Price, 22,613 miles, 
Used 2023 Mazda, CX-30 Select, $22,995, High Price, 38,551 miles, 
Used 2023 Mazda, CX-9 Touring Plus, $27,199, Fair Price, 49,380 miles, 
Used 2023 Mazda, CX-50 Turbo Premium, $29,699, Great Price, 38,912 miles, 
Used 2023 Mazda, CX-30 Select, $23,900, High Price, 29,845 miles, 
Used 2023 Mazda, CX-9 Grand Touring, $31,997, High Price, 42,503 miles, 
Used 2023 Mazda, CX-5 2.5 S Preferred, $27,995, High Price, 26,005 miles, 
Used 2023 Mazda, CX-50 Turbo, $28,870, Great Price, 38,799 miles, 
Used 2023 Mazda, CX-5 2.5 S Carbon Edition, $26,500, Great Price, 29,019 miles, 
Used 2023 Mazda, CX-9 Carbon Edition, $28,500, Great Price, 51,680 miles, 
Used 2023 Mazda, CX-30 S, $20,747, High Price, 49,288 miles, 
Used 2023 Mazda, CX-9 Touring Plus, $29,893, High Price, 56,332 miles, 
Used 2023 Mazda, CX-5 2.5 S Preferred, $25,995, High Price, 28,465 miles, 
Used 2023 Mazda, CX-5 2.5 S Premium, $27,315, Fair Price, 17,408 miles, 
Used 2023 Mazda, CX-9 Carbon Edition, $34,988, High Price, 22,919 miles, 
Used 2023 Mazda, CX-50 Preferred Plus, $27,987, Fair Price, 34,755 miles, 
Used 2023 Mazda, Mazda3 Select Sedan Automatic FWD, $18,551, Excellent Price, 48,483 miles, 
Used 2023 Mazda, CX-50 Turbo, $27,998, Fair Price, 45,287 miles, 
Used 2023 Mazda, CX-50 Preferred Plus, $26,999, High Price, 37,114 miles, 
Used 2023 Mazda, CX-30 Preferred, $24,624, Fair Price, 24,099 miles, 
