Used 2022 Dodge, Charger SXT RWD, $23,994, Great Price, 11,949 miles, 
Used 2022 Dodge, Charger GT RWD, $26,000, Excellent Price, 46,960 miles, 
Used 2022 Dodge, Charger GT RWD, $25,880, Great Price, 57,218 miles, 
Used 2022 Dodge, Durango Citadel AWD, $31,000, Excellent Price, 34,334 miles, 
Used 2022 Dodge, Challenger R/T RWD, $30,475, Great Price, 34,298 miles, 
Used 2022 Dodge, Durango SXT AWD, $29,900, Excellent Price, 14,982 miles, 
Used 2022 Dodge, Durango R/T AWD, $34,400, Great Price, 59,770 miles, 
Used 2022 Dodge, Charger SXT RWD, $19,500, Excellent Price, 75,898 miles, 
Used 2022 Dodge, Challenger R/T RWD, $26,445, Fair Price, 83,823 miles, 
Used 2022 Dodge, Durango R/T AWD, $33,980, Great Price, 40,077 miles, 
Used 2022 Dodge, Durango GT Plus AWD, $31,000, Great Price, 41,121 miles, 
Used 2022 Dodge, Charger SXT RWD, $17,900, Great Price, 56,569 miles, 
Used 2022 Dodge, Charger R/T RWD, $30,488, Great Price, 40,021 miles, 
Used 2022 Dodge, Charger SXT RWD, $19,500, Excellent Price, 75,898 miles, 
Used 2022 Dodge, Durango SXT AWD, $28,120, Fair Price, 32,819 miles, 
Used 2022 Dodge, Durango R/T AWD, $43,495, High Price, 17,296 miles, 
Used 2022 Dodge, Charger SXT RWD, $28,998, High Price, 14,269 miles, 
Used 2022 Dodge, Charger SXT RWD, $18,995, Fair Price, 61,936 miles, 
Used 2022 Dodge, Charger SXT RWD, $18,795, Fair Price, 68,557 miles, 
Used 2022 Dodge, Charger R/T RWD, $24,899, Fair Price, 139,736 miles, 
Used 2022 Dodge, Charger SXT RWD, $22,874, Fair Price, 49,505 miles, 
Used 2022 Dodge, Charger Scat Pack Widebody RWD, $44,163, Excellent Price, 31,063 miles, 
Used 2022 Dodge, Challenger R/T RWD, $26,445, Fair Price, 83,823 miles, 
Used 2022 Dodge, Durango GT Plus RWD, $26,400, Fair Price, 63,087 miles, 
Used 2022 Dodge, Charger GT RWD, $25,500, Fair Price, 43,966 miles, 
Used 2022 Dodge, Durango Citadel RWD, $31,751, Fair Price, 58,541 miles, 
Used 2022 Dodge, Challenger SXT AWD, $22,899, Great Price, 24,034 miles, 
Used 2022 Dodge, Charger SXT RWD, $19,800, Fair Price, 75,361 miles, 
Used 2022 Dodge, Durango GT Plus AWD, $31,990, Fair Price, 44,250 miles, 
Used 2022 Dodge, Durango SRT 392 AWD, $56,966, Fair Price, 10,241 miles, 
Used 2022 Dodge, Challenger R/T RWD, $26,499, Great Price, 57,943 miles, 
Used 2022 Dodge, Charger SXT RWD, $17,999, Fair Price, 106,866 miles, 
Used 2022 Dodge, Charger SXT RWD, $21,375, High Price, 58,757 miles, 
Used 2022 Dodge, Challenger R/T RWD, $26,999, Fair Price, 19,544 miles, 
Used 2022 Dodge, Charger R/T RWD, $27,581, High Price, 104,001 miles, 
Used 2022 Dodge, Charger SRT Hellcat Redeye Widebody RWD, $78,995, High Price, 36,304 miles, 
Used 2022 Dodge, Durango GT Plus AWD, $30,477, High Price, 56,336 miles, 
Used 2022 Dodge, Challenger SXT RWD, $26,990, High Price, 27,473 miles, 
Used 2022 Dodge, Challenger R/T RWD, $37,425, High Price, 17,261 miles, 
Used 2022 Dodge, Charger R/T RWD, $27,581, High Price, 104,001 miles, 
Used 2022 Dodge, Durango GT Plus AWD, $30,477, High Price, 56,336 miles, 
Used 2022 Dodge, Challenger R/T RWD, $37,425, High Price, 17,261 miles, 
Used 2022 Dodge, Charger GT RWD, $26,995, Fair Price, 18,546 miles, 
Used 2022 Dodge, Charger SXT RWD, $18,845, High Price, 80,058 miles, 
Used 2022 Dodge, Durango R/T AWD, $37,000, High Price, 55,753 miles, 
Used 2022 Dodge, Charger SXT RWD, $19,994, High Price, 44,801 miles, 
Used 2022 Dodge, Durango GT Plus AWD, $24,999, Fair Price, 43,001 miles, 
Used 2022 Dodge, Charger SXT RWD, $25,748, High Price, 34,885 miles, 
Used 2022 Dodge, Durango R/T AWD, $41,997, High Price, 9,465 miles, 
Used 2022 Dodge, Charger SXT RWD, $18,995, Fair Price, 63,214 miles, 
Used 2022 Dodge, Challenger GT RWD, $19,994, High Price, 44,549 miles, 
Used 2022 Dodge, Challenger R/T Scat Pack Widebody RWD, $55,000, High Price, 5,070 miles, 
Used 2022 Dodge, Charger R/T RWD, $25,777, Fair Price, 76,736 miles, 
Used 2022 Dodge, Challenger R/T Scat Pack RWD, $48,996, High Price, 11,412 miles, 
Used 2022 Dodge, Charger GT RWD, $22,777, High Price, 34,230 miles, 
Used 2022 Dodge, Durango R/T Plus AWD, $41,350, Fair Price, 24,880 miles, 
Used 2022 Dodge, Durango GT AWD, $23,595, High Price, 114,572 miles, 
Used 2022 Dodge, Charger GT RWD, $22,995, High Price, 66,392 miles, 
Used 2022 Dodge, Charger GT RWD, $29,995, High Price, 30,038 miles, 
