Year/Make, Model, Price, Rating, Mileage
Used 2019 BMW, X3 sDrive30i RWD, 15500, Excellent Price, 83560
Used 2019 BMW, X3 xDrive30i AWD, 19000, Great Price, 78466
Used 2019 BMW, X5 xDrive40i, 27990, Excellent Price, 60792
Used 2019 BMW, 430i xDrive Coupe, 26869, Excellent Price, 36047
Used 2019 BMW, 530i RWD, 16188, High Price, 110699
Used 2019 BMW, X1 xDrive28i AWD, 22700, High Price, 41927
Used 2019 BMW, X3 M40i AWD, 29990, High Price, 66023
Used 2019 BMW, X2 xDrive28i, 18995, High Price, 80442
