Used 2020 Nissan, Kicks S, $10,894, Excellent Price, 96,432 miles, 
Used 2020 Nissan, Rogue Sport SV AWD, $17,275, Excellent Price, 63,685 miles, 
Used 2020 Nissan, Altima 2.5 S FWD, $10,199, Excellent Price, 112,737 miles, 
Used 2020 Nissan, Rogue Sport S AWD, $17,490, Excellent Price, 45,124 miles, 
Used 2020 Nissan, Murano SV AWD, $17,400, Fair Price, 85,233 miles, 
Used 2020 Nissan, Pathfinder S 4WD, $17,443, Excellent Price, 67,989 miles, 
Used 2020 Nissan, Maxima SL, $18,499, Excellent Price, 69,990 miles, 
Used 2020 Nissan, Altima 2.5 SR AWD, $17,998, Fair Price, 51,315 miles, 
Used 2020 Nissan, Maxima S, $11,990, Excellent Price, 128,996 miles, 
Used 2020 Nissan, Murano Platinum AWD, $26,794, Fair Price, 30,774 miles, 
Used 2020 Nissan, Versa S CVT, $12,950, Fair Price, 50,244 miles, 
Used 2020 Nissan, Rogue SV AWD, $18,595, Great Price, 70,100 miles, 
Used 2020 Nissan, Rogue Sport SV AWD, $16,990, Great Price, 80,970 miles, 
Used 2020 Nissan, Rogue S FWD, $19,998, Fair Price, 37,150 miles, 
Used 2020 Nissan, Maxima SL, $21,990, Fair Price, 45,679 miles, 
Used 2020 Nissan, Altima 2.5 SL FWD, $14,994, Fair Price, 116,347 miles, 
Used 2020 Nissan, Rogue Sport SV AWD, $13,788, Great Price, 123,405 miles, 
Used 2020 Nissan, Murano SL AWD, $21,275, Fair Price, 61,784 miles, 
Used 2020 Nissan, Pathfinder SL 4WD, $25,989, Great Price, 28,115 miles, 
Used 2020 Nissan, Murano SL AWD, $21,275, Fair Price, 61,784 miles, 
Used 2020 Nissan, Rogue Sport S AWD, $16,900, Great Price, 53,354 miles, 
Used 2020 Nissan, Murano SL AWD, $21,125, Fair Price, 63,869 miles, 
Used 2020 Nissan, Murano SV AWD, $26,998, Fair Price, 14,478 miles, 
Used 2020 Nissan, Altima 2.5 SR FWD, $14,500, Excellent Price, 75,000 miles, 
Used 2020 Nissan, Maxima S, $11,990, Excellent Price, 128,996 miles, 
Used 2020 Nissan, Murano Platinum AWD, $26,794, Fair Price, 30,774 miles, 
Used 2020 Nissan, Altima 2.5 S FWD, $15,753, Excellent Price, 46,084 miles, 
Used 2020 Nissan, Pathfinder S 4WD, $10,850, Excellent Price, 103,371 miles, 
Used 2020 Nissan, Maxima SL, $21,990, Fair Price, 45,679 miles, 
Used 2020 Nissan, Pathfinder S 4WD, $19,095, High Price, 106,508 miles, 
Used 2020 Nissan, Murano SV AWD, $14,499, Fair Price, 115,787 miles, 
