Used 2023 VinFast, VF 8 Eco, $18,200, Great Price, 3,064 miles, 
Used 2023 VinFast, VF 8 Eco, $18,400, Fair Price, 3,927 miles, 
Used 2023 VinFast, VF 8 Eco, $18,400, Fair Price, 5,818 miles, 
Used 2023 VinFast, VF 8 Eco, $18,400, Fair Price, 2,327 miles, 
Used 2023 VinFast, VF 8 Eco, $17,500, Fair Price, 9,527 miles, 
Used 2023 VinFast, VF 8 Eco, $19,100, High Price, 6,749 miles, 
Used 2023 VinFast, VF 8 Eco, $18,400, High Price, 9,828 miles, 
Used 2023 VinFast, VF 8 Eco, $18,400, High Price, 19,996 miles, 
